id,price,moonRank,💎 score (%),storeURL,Biome,House color,House number,House style,Material,Openings color,Openings style,Precipitation,Roof color,Roof style,Sky,Street name
15 Jump Street,108,173,0,https://solanart.io/nft/CGoRnKo3yvngCfSLYtiSzvfWd6LyuCN3p1RytvR6M1jf,Field,Yellow,15,Mansion,Brick,Dark green,Shuttered,,Mix,Food,Day,Jump Street
20 Jump Street,100,517,0,https://solanart.io/nft/32bXsZL5qzkfKC2AFNz69xuK9fzFrf6GbQtYPuAVujqb,Woods,Yellow,20,Art Deco,Brick,Blue,Shuttered,,Pale green,Tin,Day,Jump Street
22 Jump Street,450,58,0,https://solanart.io/nft/JeWWEnRzghAdQw2QirKhYv2JcmkMtRDbzj8VDPPU6p5,City,Blue,22,Art Deco,,,Glass,,Lavender,Tin,Stormy,Jump Street
25 Jump Street,80,78,0,https://solanart.io/nft/EJSAnKSMQMSm62f8316SPqgH9NoaavUF3NDpXD6dUxNP,City,Pale green,25,Cottage,,,Crystal,,Yellow,Shingle,Sunset,Jump Street
28 Jump Street,169.419998,104,0,https://solanart.io/nft/9XeDMVvruUAU1rEQ9BsvUxS5ZLsfpjUjAFuYgTm7ZVA9,Underwater,Blue,28,Modern,Vines,Dark green,Shuttered,,Blue,Skylight,,Jump Street
29 Jump Street,69,1466,0,https://solanart.io/nft/BSRXdKBoK8Wrr2ZFzvMoQUGS4MqGdZyt7nGjRfNBiQ5P,Beach,Red,29,Cottage,,,Glass,,Green,Skylight,Day,Jump Street
30 Rosa Street,140,1941,0,https://solanart.io/nft/9i2PvYje2t61PsjXpwR7ddDRLHvQLTgg7qnd7qN3h247,City,Green,30,Modern,,,Glass,,Mix,Food,Day,Rosa Street
35 Rosa Street,149,2042,0,https://solanart.io/nft/8A1ULJcJE7dv1FFLqd5LMcnUWyaqXLehdXZHsQCi1k39,Volcanic,Red,35,Cottage,,Red,Shuttered,,Yellow,Shingle,Day,Rosa Street
36 Ape Lane,40,690,0,https://solanart.io/nft/BzYhhjdApsrTEQLMEYt9fJv8uX8p9KxcVRyy1cqWAiJs,City,Yellow,36,Cottage,,Pale green,Rounded,,Lavender,Patio,Night,Ape Lane
38 Teeps Lane,39.689999,1706,0,https://solanart.io/nft/GyJPp8hH5bJCDxAgMr7zfDQBdGtW8shDaMUPskqxNh3T,City,Blue,38,Cottage,Vines,Blue,Rounded,,Mix,Mushroom,Day,Teeps Lane
43 Rosa Street,555,22,0,https://solanart.io/nft/9vBLXr7aQbjzp194xf7Y6DsaipbG5f4rrbdxeQfUUztr,Field,Gold,43,Art Deco,Gold,Gold,Gold,,Gold,Gold,Day,Rosa Street
45 Groove Path,1000,46,0,https://solanart.io/nft/ChgckGgUuHnjicM5vQVwimBsyQZ9DkyK4DrWFCabxjAZ,Woods,Green,45,Modern,Vines,,Glass,,Mix,Mushroom,Night,Groove Path
48 Supple Circle,48.869999,1994,0,https://solanart.io/nft/BMeYUjkKcxaWzyGxmh3qE1Rfv5pDvP83HGLUqdNFrsFE,Desert,Yellow,48,Cottage,Vines,Green,Shuttered,,Yellow,Tin,Day,Supple Circle
50 Stewart Avenue,69.420914,659,0,https://solanart.io/nft/B4oM35Q9AerucJpftk5gNhJMyUzM1VGG1VmwUinHb1ci,Underwater,Red,50,Art Deco,,,Crystal,,Blue,Skylight,,Stewart Avenue
50 Rosa Street,69.690002,1147,0,https://solanart.io/nft/22RfyNfKvvPNNb3p4jut34TG3HPiGmoJKbfVTyWCgooP,Field,Green,50,Modern,Vines,Yellow,Rounded,Rain,Red,Shingle,Day,Rosa Street
52 Ape Lane,90,577,0,https://alpha.art/t/BJ9DepuotJjRATGokjD1gLbX553U16rnNU6r8Wz2BwT3,Field,Lavender,52,Mansion,,Red,Shuttered,,Mix,Grass,Night,Ape Lane
55 Supple Circle,50,101,0,https://solanart.io/nft/DPBVKcUi23pUeKjh2PRZNc42HTepXK8oPWgUfYkS4cgT,Arctic,Dark green,55,Modern,Brick,,Glass,Snow,Yellow,Tin,Day,Supple Circle
