id,price,moonRank,💎 score (%),storeURL,clouds,far object,foreground,horizon,midground,near object,sky,sun
1,1.69,3120,58.62,https://magiceden.io/item-details/EgpoArCP7t8hiSshPmXbw7aFDbczgcVCJ5wAnF1jvcT1,stratus white,stars,high road,rock mountain,big river,blue lambo,pink,normal bright
5,6.9,1377,22.26,https://magiceden.io/item-details/GQ2VXYgiJ9qqR6Px1yYMGqWkp99LVued8UA1XZMMiER2,red cirrus,stars,crag,jungle hills,lake forest,columns,turbidy,helius
14,1,2473,71.37,https://magiceden.io/item-details/3bUQP39RpEPauG5qegNoBnoueGq64EXPdL2JncgvivSV,cirrocumulus,moon,dirt road,none,beach,campfire,solana,normal bright
25,4,2872,37.76,https://magiceden.io/item-details/9AmZFDJ886EE7wwQ9GiQKNTWRZHiNvnBECTCP4VnjqxX,stratocumulus,stars,crag,arizona,lake forest,david columns,turbidy,solana sun
56,1.2,2900,65.51,https://magiceden.io/item-details/3YGwCCrzmpKeCDcabdX48PDFWdFHmEs5EJ8HDpb2KPo5,cirrocumulus,none,high road,forest,cristal lake,cyber ronin,chernobyl,micro bright
84,5,2925,27.28,https://magiceden.io/item-details/44KCPsa7CHX2niAMeGpjFKBd1eXr1cXcMNn8GxuWX3fU,stratus white,stars,marsh,none,beach,motorcycle,cyan,normal warm
117,2.4,514,75.06,https://magiceden.io/item-details/FHcQKLjFWUgZSYXAiZJ7EsqnesfNrg1jURoxnHFVmUux,cirrocumulus,none,palm springs,amusement park,cristal lake,deer,purple,solana sun
119,2,2338,62.58,https://magiceden.io/item-details/DfrAkBQDSBmR1WF3G1Xm8rJXLzBDbSey1KuNtjEnvRao,cirrocumulus,birds,palm springs,forest,lake forest,cyber ronin,solana,micro bright
129,2.95,745,67.47,https://magiceden.io/item-details/86JKry4gcopkDRg1cLYqRYRnPHnQ9ATwDyuSy4LWu4iq,altostratus,none,prairie,arizona,greek temple,david columns,sahara,solana sun
133,9.5,1570,0,https://magiceden.io/item-details/7pg5DKXwpCCfk6ioDtf1NC1FWWmQ2XUTQXfihyLUwxZk,stratus white,none,crag,pyramids,cristal lake,woofwoof,turbidy,high warm
138,1.5555,3037,60.72,https://magiceden.io/item-details/3mny2eGPDdgCES6wdwxda42KJBkTaVzPTQax2WvRPJUH,none,big-moon,palm springs,rock mountain,big river,motorcycle,turbidy,sahara
160,1,3521,61.9,https://magiceden.io/item-details/GRtckN9FQc5ZcdN9ihoWYiW6Z64NaseumcWXfKHGWMuH,stratocumulus,big-moon,crag,jungle hills,lake forest,columns,cyan,big sahara
161,2,1721,68.16,https://magiceden.io/item-details/FoLt3pXDKpric4tFDCKJcM1ftdd3cqJKc4PB9vTvLigi,early birds,tower,palm springs,coastal,cristal lake,columns,tea,west coast
171,1,1716,78.2,https://magiceden.io/item-details/8mGhsBQWWQXW5wK8hGKc3tW3RB2LU1x8BLMchc1FuuxY,cirrocumulus,stars,crag,rock mountain,cristal lake,deer,blue,solana sun
172,0.55,1993,80.2,https://magiceden.io/item-details/4VvJbFqGLPi4sgtmUwnLeK4GcgKfS8rRs5tSoFhPR1tc,cirrocumulus,rainbow,dirt road,coastal,cristal lake,frens,cyan,solana sun
179,5,3857,18.87,https://alpha.art/t/6tq9DQC5x8FC4EShSqo3vCKvbpb4DanUckoVbsYceDk9,cirrocumulus,moon,crag,industrial valley,cristal lake,blue lambo,sahara,west coast
183,0.99,1985,75.87,https://magiceden.io/item-details/Cez7iNBpdZk2RMHMGZjsW6VGm8AJMB8B637Mh9MyFpo5,red cirrus,none,crag,rock mountain,big river,columns,chernobyl,eclipsis
187,0.59,2871,71.87,https://magiceden.io/item-details/8HJPpz4nsMdd1MDJXXxhqEu7R7VWGiMjbSKtF8VDE9Ue,cirrocumulus,birds,pine road,none,river,blue lambo,cyan,big sahara
196,1,3783,59.53,https://magiceden.io/item-details/JAfeZYmPgp6mY4xnatnVSVJNMDp95isGSSB7UxnBdfjD,altostratus,birds,prairie,none,cristal lake,palms,solana,normal bright
200,4,1849,47,https://magiceden.io/item-details/EDbphjraKwbpQjkRkJrPhAyNzXQEQKBSQzFxkDwYa9fk,early birds,ufo,dirt road,none,river,columns,chernobyl,normal bright
201,500,289,0,https://magiceden.io/item-details/9pjDiHDzuCns4G8p9Hz1w5YX5BXWUZiF1pEK3Rzma1gQ,early birds,stars,dirt road,monolyth,cristal lake,tall grass,green,solana sun
