id,price,moonRank,💎 score (%),storeURL,Background,Body,Eyes,Flair,Mouth,Smoke
34,0.3,565,64.82,https://magiceden.io/item-details/4a6rpL5Ffs6G4kePySHBLcRBuf5VBkdqHdw5LuLepYQd,Ice,Stray bunny,Flaming,None,Fangs,None
46,0.29,410,74.49,https://magiceden.io/item-details/C4k14fKgAsRrevowGACkmeNKw9Pn5izTogutk7dCmTAS,Candy,Stray bunny,Watery,Rain,Fangs,Mint
151,0.39,341,77.75,https://magiceden.io/item-details/nyufGUqWDESrxmRCtmkvXZDLSmc1KcLG8EN7AKS58Ks,Candy,Worm,Bored,Rain,Fangs,None
162,0.45,648,58.2,https://magiceden.io/item-details/AoqUJT8PjF6B2rpzZs91r5yPG9pxahNU9geUV8L5mn2w,Candy,Bat,Spiral,None,Scary,None
165,0.39,398,74.23,https://magiceden.io/item-details/CbrHd6kzhKmszZBgM1DxaDtKAmvWMqZSVVN1yVcLjGtX,Raspberry,Snake,Watery,None,Fangs,Mint
190,1.5,18,86.59,https://magiceden.io/item-details/H9h2XQUBHcpu89fCStvJkDpRRAW27Kapdtf3v9E5k9Th,Ice,Snake white,Bored,None,Scary,Toxic
191,0.68,142,87.13,https://magiceden.io/item-details/DXZkYotokheg2mgzwBzsPGyHZS2nMxq1uBuCbqobTkLj,Raspberry,Bat,Spiral,Lightning,Teeth,Mint
194,0.58,477,67.46,https://magiceden.io/item-details/kSSyEeMhuDnY5J1HmTMiv3fcbkBW9z322tRm6PJ5FPV,Raspberry,Snake,Flaming,Lightning,Fangs,None
195,0.6,285,79.11,https://magiceden.io/item-details/8QhF4732guBL1jiLyC8aADz3GRU25hAGWDukLpqfFiep,Candy,Stray bunny,Spiral,Rain,Teeth,Mint
234,69,409,0,https://magiceden.io/item-details/BQfSnUjv6hvYJ2fgw6BZ9CojCoVLe7Csmx3D4ioyZL5b,Candy,Bat,Spiral,Lightning,Bored,None
237,69,229,0,https://magiceden.io/item-details/5T2BvdvFWr7wh4PQCbwhJf6paQne6CaxP2PCmaAUvEr,Fire,Bat,Watery,None,Fangs,None
238,50,153,0,https://magiceden.io/item-details/GZ5gMrHPPT39fr9pQBEgusTCUfbtD3ohW7k1Rb4CgDZD,Candy,Stray bunny white,Spiral,None,Teeth,None
239,0.5,629,58.87,https://magiceden.io/item-details/EjMBTRaa56pqjcjyvPmYP43Pw4tfPQiTF8sMLH7GMVjo,Raspberry,Snake,Flaming,None,Scary,None
240,69,332,0,https://magiceden.io/item-details/53mimYxsHbnJwGCpgNXK3KxQ5wvivKu8mBztB5Jxraew,Raspberry,Snake,Flaming,None,Scary,Toxic
241,0.5,626,59.06,https://magiceden.io/item-details/EF3fAStRZ7BqTK7vtFdNwbcnv2MZpjwMESTp8Y23J2Dz,Candy,Bat,Spiral,Rain,Scary,Mint
250,1.3,175,78.9,https://magiceden.io/item-details/66QZYbxhJqB5gyqgHm4UA3bK1GrXfbTrxjSFpWqD7wfA,Raspberry,Snake white,Flaming,Lightning,Scary,Mint
259,1,360,70.48,https://magiceden.io/item-details/8H77Gyj2VrxomYhqcCCQWpWBnhXQyjciKSLgb3rjygnb,Candy,Worm,Watery,Lightning,Fangs,Mint
262,1,289,74.86,https://magiceden.io/item-details/QhAvfTb3DGaYejDrYHQsBLreW5T98bt27cEQK1v7vWD,Raspberry,Worm,Spiral,Rain,Bored,Mint
