id,price,moonRank,💎 score (%),storeURL
2,140,874,0,https://magiceden.io/item-details/2ftGHrkcvnBRC2QcD4K4w3aYUJeCn2kcQtZ33ajC95qU
140,15,576,0,https://magiceden.io/item-details/HTeX6AiAt13jewWttwNjKrK912PzEmMiVw8vSr2UZMLm
158,40,1890,0,https://magiceden.io/item-details/83ytWdT6TiAbA11Ec1Er3k3gJx656ifWpUtxL8NqhD78
201,15,3107,0,https://magiceden.io/item-details/GBsTDFK6qZigmBkf2RHb1gykAAC6cnCXGchjUngsJzjj
215,12.9,3188,0,https://magiceden.io/item-details/4U2ESHcacm2vD8P7deT6wDuK7HwKMfMvTKZuoPqGc3CP
229,12,2450,24.53,https://magiceden.io/item-details/7owY6xdjrBoixWxgXZibmgvnPaLvU4Po4zapXxFoU6Bj
257,12,2814,21.04,https://magiceden.io/item-details/BXwgFZwbvpRDbXB1zrWoUVdLz2P2tn4zwQvGTTKwbPMa
261,42,632,0,https://magiceden.io/item-details/5G93UqBZyEryGNYBtb4tqZremTmH92Xfdyn1ydhuQFds
262,420,2513,0,https://magiceden.io/item-details/AhGoXiNEeMgduJ9nnnR4SBzxpNWUpXat6ohzdEFW6VDd
266,24.6942069,1062,0,https://magiceden.io/item-details/BvvQpkGezC6XDoL28mfqsS1ZzZDRA57NvVrnJyfmXA6F
278,10,4095,59.8,https://alpha.art/t/6CLhC4Q9NMyprdkdAFz5tJhx4g4Cdmrb8ztJHckdWus7
284,18.8,729,0,https://magiceden.io/item-details/CYK3tftLXuSJup5XYR5wQztGHwEVHdMs7yL1VybFu7s2
292,20,705,0,https://magiceden.io/item-details/EZNGu1KbQu3qz8BfU54uVy3qE68e3FoZnFGUio7N8KVs
307,19.99,1872,0,https://magiceden.io/item-details/oa5MGQiv8apUpH8yApYfXTGL4gZbQfjkZmYzghR1anu
320,11.99,3169,17.84,https://magiceden.io/item-details/DYgrdyy9ZGNZynshbJvCZkKP8AFaGgDwjrFB2hwtE5eD
346,14.69,753,0,https://magiceden.io/item-details/yoGKTqvrSj68cezkLWqXAh3ekRmV2dmoH7bvD9ruSod
356,75,447,0,https://magiceden.io/item-details/92ct3RXoWTmRVNtZUBvBdEQUGpN3ge9pPDKXioYTnfX9
366,13.5,3141,0,https://magiceden.io/item-details/4MuxnwpAk4yzAaxESx241DR52j7hTxUhsxgpv15aA2Vh
371,77.42077,73,0,https://magiceden.io/item-details/2tCdLtjLkF8rxg76dnfiVRvG7iwXoPABZU9SRX1Sh2yW
376,12,2120,27.69,https://magiceden.io/item-details/3sSWaTe8WkehtTXDwoXnNNhpVB1Z5KkB4AwMwNgKTMx8
387,30,1333,0,https://magiceden.io/item-details/oNqiT7J3JfMxd2fxiWhaEyiF56K4jaW5iw5nDLh5WWt
406,40,338,0,https://magiceden.io/item-details/CGaPN4NBSBswm4qZSNvai7icnpXMcRKx11YVs5AFES6m
440,18,450,0,https://magiceden.io/item-details/FCj1sVGcvqGKtwLyseK3b8V3nBqFdMvzcQpj1u99h5zZ
446,12.5,4134,0,https://magiceden.io/item-details/8kQkFUXoBw4nQhe1P4rD7U2fHGxWyAe9AQnw1CERT39v
451,10,3795,51.64,https://magiceden.io/item-details/Gep6apLGtShSWwaJzm2Y1afStjeK6YzZrjtsPoRE8RTE
466,17,875,0,https://magiceden.io/item-details/28DRhc3hDzq8heg7TNGQM3uZdFzHFFprMPjqNw6kZjLF
481,20,3827,0,https://magiceden.io/item-details/9tDWy1XQkTDtmtn1odiLivLaKBXZ2umnner2JwPdEsve
494,10,4120,48.53,https://magiceden.io/item-details/9MXrYfFXZzYQcs8nSDjtXnPGK7BwBvTgU799A7YB2hdi
504,9.48,3846,61.55,https://magiceden.io/item-details/3Y4uFsJTW4tnNvogG48Et8wQsgBYtJmayMZQxALCx5Ue
531,13,2437,4.65,https://magiceden.io/item-details/9nfxQ86EYB4J3NZiw4WBigEr9A6kcRrRUaX7RD4okq5y
537,21.9,929,0,https://magiceden.io/item-details/CV9vNPrbkzvinZNXMdnwSeqirssG3tJLoazr8tKXtwJW
553,21.42069,1552,0,https://alpha.art/t/B4zHQCC6kdtyhL3yx4taE6wMheaNsWDtKxfeeBeCUSqQ
572,30,1124,0,https://magiceden.io/item-details/DfZXVy6KnqGWC8VJnV6xqzwNkHo29J7HW5Ufg6gMQ1Su
604,9.4,2843,72.76,https://magiceden.io/item-details/4DAcdn7GkvqaesE8mMUoTtNGy4LH1Sz9pBX1JFXJMYt6
617,17,1134,0,https://magiceden.io/item-details/2cP8tHk4nY16eN5hNqpLe4ARaipxrcUfNNT8hKU5KYan
628,25,3095,0,https://magiceden.io/item-details/7fVdBXkryYmLFg8hPY6Feggqyn9rkZy3bHsNLKn6MqXU
640,15,1879,0,https://magiceden.io/item-details/779q4bCP9qGynZ1DukJSdqFidb4MNvPeFdf3H6P7B7qu
660,15,691,0,https://magiceden.io/item-details/BeLnRwPKCDFkehnsT8t7yQrUXxKAKtApgRKhA1vuSegS
684,20,3705,0,https://magiceden.io/item-details/HpgnyGgfsAv8Cm6ZxwjVxB17hvSKZiSU6YHN5wYZh5pd
720,9.4,3951,62.15,https://magiceden.io/item-details/9uRR33iGEoaD5KG5vPoHczXMKS5u9cU6kCn4W44PQY14
727,12.5,3987,0,https://magiceden.io/item-details/5er3y9pd6b6J93JPFMU8rRrvSQuQroWPVwcG5qd3aGTd
741,100,15,0,https://magiceden.io/item-details/AyPmaA91X7kih63GMyf8Njj7oqEF33yvLd4YBv5sXHUy
750,24.42,273,0,https://magiceden.io/item-details/2qTuURfEMzfWf97LgtuP9CxnVhTZNzFDpr3Ycd9Mu4CT
756,25,2877,0,https://magiceden.io/item-details/BycRkY5Xz6SPcSn14bdx1zrhfx68A1Hv4Q2sM1KFdeBR
759,100,302,0,https://alpha.art/t/3AqnduR9HNCgpSbqgmf6o1fy21r2unvyPWq4Y15YXN2G
769,10.5,1826,60.51,https://magiceden.io/item-details/ErZwMQq82X9vXhfrv7DFKyViiDx4pHk3c9C9ZoyQmRDr
797,79,399,0,https://magiceden.io/item-details/3CE6jyHzbFkpQ63Wigcd4vr7hUcj2h5yee3YzFiics7f
802,10.5,3563,43.86,https://magiceden.io/item-details/4YTpByFTnZiQL44CawG6Cc1U195N2kYNdsZg3Tj8iFeW
803,15.69,3425,0,https://magiceden.io/item-details/8gjMhkvXKkS9qdcK88ep6YS1af9PvRQYrs2SSwM6FgLq
805,420,1855,0,https://magiceden.io/item-details/F7wPZZAG13q9d1gRuMBpfN1wGacozne4NaDL87eCAg3L
841,13,681,21.48,https://magiceden.io/item-details/37YSoZTxpVdbm4G7DxkMbKkWs4uQJqJco7KsdPKu8sgM
853,10.1,3483,52.63,https://magiceden.io/item-details/4QevugyRA9jTFCabsfa1p1YDoUwH76LdnuFipvxu9gyX
862,14.69,1240,0,https://magiceden.io/item-details/BCudVpeqBZTf4hYepMPAoQEAGjdG4VBARaZWitnU7MSg
876,13,2781,1.36,https://magiceden.io/item-details/Gv1T1YrwQUwJ59JDRKTqu5r88884e3jUSaECMQvAp1Pw
888,18.42,1285,0,https://magiceden.io/item-details/FUwRWLXhz3WAAaSXwf35dDNB1SWWdCLqgBM2B6bZXDUR
928,18.28,1909,0,https://alpha.art/t/BnxXo6bwd9irjRM7g9Z5dKAf8NU9SHzwRz6CYed7YG5D
929,15,2752,0,https://magiceden.io/item-details/MPPBcLLz6R4LStU7hnzX8LdgPyG7NAAG6MG17ofhHTC
963,56,714,0,https://alpha.art/t/9n5Bn87frqkJ6hcbhgCcFgV4hrE45ygC8yNZUAvG8T4t
1005,20,2459,0,https://magiceden.io/item-details/GxDE248WoDLBfL922eKs53WVTZdRieAu5KD1suwuPTBi
1009,19.2,669,0,https://magiceden.io/item-details/6e9JPM1NgM5J6nzoDHejQxEU3iYaHZriCABzELvAnYhS
1033,15,1565,0,https://magiceden.io/item-details/H231aRgYEerDLGkqTM448WAXyb8QDa8CVgYduSw4UB7d
1035,36,1009,0,https://magiceden.io/item-details/F1v5SXGv6kuFtdS9ovK9VH9Uk292hHrL6qjVEGXK7cba
1041,20,1551,0,https://magiceden.io/item-details/63UJWnEePsJ6DoR6fgWbCoSRM83Gb6y25foMcAPuiCWA
1045,20,2367,0,https://magiceden.io/item-details/36fdCwvuoSCFnPNxWe1jDXsFRDH3GBtDdeTZZKjDRNgv
1055,55.55,240,0,https://magiceden.io/item-details/5HYcmM1tuG7ixteyT7CdFFxwB5dVZuj2DYwtZF3sstob
1076,11.7,2319,31.78,https://magiceden.io/item-details/7koWdgmrZoULikoEGj5TiC9bjW1zjbZqrELrTq2Ppcyx
1099,25,1616,0,https://magiceden.io/item-details/HMQFy6fvHHSapTfCWoQpvsWsbuiYZq9q9DenVqPXujHX
1121,11.4269,2690,33.69,https://magiceden.io/item-details/3xuFHj5EAyFhQFb3HXv7rJJYyCAQ5d1Gby8PKafWKkVA
1124,37,1946,0,https://magiceden.io/item-details/DFukEAEZ3gx9a1H5rBWGDuKHm4iZzfAGAwouhCbS3WZD
1158,20,1983,0,https://magiceden.io/item-details/7rWt2qhGkRDR5X9BGWxtBtA1WjTeQPmNYoCAKiT1fTbb
1173,104.2,49,0,https://magiceden.io/item-details/HPRY1p9zpe1R4s4DGDrw8V8EVuQfEM9jtuEY4XeDqw1p
1181,17.42,1244,0,https://magiceden.io/item-details/A2K7goNYhFiK8XVsjpyCt48N3LJftnrMd1tRGpLmUE8r
1182,30,641,0,https://magiceden.io/item-details/Hq6GF563B1Eh65EwsPzB82mdsfyM3c7Zzfe6qZKaXYGR
1186,14.6,3855,0,https://magiceden.io/item-details/Ejnj1Qw1HitKgehyh12Uvh6Pr7ATE8oQshheeF4s2Ajx
1194,20,492,0,https://magiceden.io/item-details/9SH2iNJjNcWkmvReiEyBdCdTA9EJRQ1t3Pz9EjnCij4n
1199,50,3259,0,https://magiceden.io/item-details/2UGrxN4YcNABpud7KxBLFRX6z8MirK7cYTxjyBhTeX3Q
1205,35,298,0,https://alpha.art/t/5BbxpUQuewyy88n8eH2ifU3KngVTefjNJ6nowbkFboJU
1215,5000,2924,0,https://magiceden.io/item-details/Kfbvsq7epMoHo4tmn7vhyathSBQbm4t2xzBddtx9snT
1233,25,372,0,https://magiceden.io/item-details/67B2BhCwW4z72mfsXyRyv6eKaReDqCxs6D2xYppWEtSR
1261,20,473,0,https://magiceden.io/item-details/DiZf6c82TwrGBF5hv1oMUgEuSVjacPXzZpdDpn4pvSn9
1265,50,42,0,https://magiceden.io/item-details/7YSZ2UiwGdgeL7gt18FHg7rD1RZMbEgUtkF14fCJuHRA
1290,39,675,0,https://magiceden.io/item-details/6LNYtab1tgJPD3wzF9xqoVU91hvacn8GzH1bfdyeHLTv
1302,14.669,987,0,https://magiceden.io/item-details/8SumRaueQf4Jdy4VvwfeDnLhPZyiEQBEYPbwXvCSZs2b
1328,100,2583,0,https://magiceden.io/item-details/g14d9VRW6o9FXbk6dPFvSAZ6c7hHJhezLxpNNMk8sCD
1346,14,2573,0,https://magiceden.io/item-details/EAyboqzboQ8UbG7kQeZRFmiE4zAep7wyBqeKqXvA2Td5
1355,19.5,1099,0,https://magiceden.io/item-details/94k2t9XXyWSRjUtZzKG9azMPgSo2KafhN2fRPAKtqLRt
1358,9.69,1763,77.31,https://magiceden.io/item-details/L6dFNsv7qWKTCJgXfBZDoG3ht3Bw9D3wNeN29MEL5jB
1373,75,1765,0,https://magiceden.io/item-details/3vzdzNFRgyQtiA7HSdK3ZZWsJrny95WWyqwcKYKZTEA6
1383,14.3,580,0,https://magiceden.io/item-details/5pci6qArjqR6kY7wv1MXVnVcRQ96fQGy5TATgsHABUFS
1389,14.2,3294,0,https://magiceden.io/item-details/CtSeSBHSeviWFG4SqjBenRFKVhftsy6oChM5SH61oduS
1404,26.42,3830,0,https://magiceden.io/item-details/CRuiaaAjx1UnXnZ7SYhioA2cBJan5EnAcWaYXooPF4sM
1405,100,1547,0,https://magiceden.io/item-details/CySVty3U9BrTRDuTjqNov9pc4eKdCuqNdeN665bARG7g
1409,12,3978,9.89,https://magiceden.io/item-details/Cg2jvMewibrC6fo2cCJmQK9duvMPynoAFrxBR3KUia8f
