id,price,moonRank,💎 score (%),storeURL,Background,Breastplate,Energy-source,Head,Shoulder,Visor
TYR-1896,167.5,1997,60,https://magiceden.io/item-details/DZKHRhSe49DVwpfumupG7ta7DKJCeSQZ6F3THfpDg8tv,Unismo,Geisoro Rm 2,Daiyamondo,Kogeki Xls,Arami Dmg,Satesi 02D
TYR-2027,169,871,67.55,https://magiceden.io/item-details/7S4PhazxW3yihF9Y412ps3dc5ewp8a522fV7x3LjDC9Q,Pelegrinaru,Raiko 03 Kx,Akuamarin,Shobo O,Arami Gkz,Onikisu X2
TYR-1431,169.6969,1664,44.7,https://magiceden.io/item-details/AQRUboqMTVt15Am8mXCDfbmApEZK2tnVbBRqPBmbXCsB,Sorinosu,Raiko 01 Zx Kp,Emerarudo,Omu Kos,Arami Dmg,Sato F
TYR-0061,175,1760,0,https://magiceden.io/item-details/3whTUtqzxJ1jTWcLiVABZry1zbGoo3gSJvuSemwD53jU,Unismo,Raiko 01 Zx Kp,Menou,Shobo O12X,Kabutomushi V1,Zugaikotsu Zp
TYR-1731,179,1218,0,https://magiceden.io/item-details/4eLA1D229ptiA7ZWkSncnXveXatyKBUGbKGhERWjpgnU,Kotramu,Geisoro Rm 2,Topazu,Kogeki Xls,Arami Dmg,Sato Non3
TYR-0631,185,1700,0,https://magiceden.io/item-details/D7V5WvSd56Xi2skkkpCQXoXaDwJy2vUdGpFJjG3LaTqG,Kotramu,Keroq Gl 600,Rodonaito,Tanku K,Difenda M02,Satesi 02D
TYR-1367,189,350,0,https://magiceden.io/item-details/E1X2xinEzufp65AKfmbLh9GGL8gmRAnstGWN3kQss47s,Heizu,Keroq Ju 831,Menou,Tanku K,Tako K,Sato F
TYR-1019,190,1770,0,https://magiceden.io/item-details/7CxVJ27u7Lw3C6VZb1uh85MJdNJuhfWGUVCrWh5N6uXg,Sorinosu,Raiko 01 Zx Rs,Emerarudo,Nakinjo K12,Difenda M02,Sato Non3
TYR-1508,190,1772,0,https://magiceden.io/item-details/HFnAgCLNqvGBv8yxLUmoVcjRg28a1jKkTFuN9Xc6fngd,Dimensomu,Raiko 01 Zx Rs,Anba,Omu Kos,Difenda 00Z,Sato X
TYR-1231,195,953,0,https://magiceden.io/item-details/79mQ6eLJoVHz1qoTpUL8ZUTtVc99e6RyaM5tpbpw6Czs,Pelegrinaru,Geisoro Rm 2,Doragon,Omu Kos,Arami Gkz,Onikisu Xq
TYR-0125,199,660,0,https://magiceden.io/item-details/B46zauxoQpVYvELzX7g9xTMZSb8EnbmJ5BmFRArHa8Vy,Pelegrinaru,Selix 17,Anba,Kogeki Kz3,Difenda 00Z,Satesi 32
TYR-0416,200,1715,0,https://magiceden.io/item-details/ZxBnuGuXFV41nnZdqCmfsaYCRhsnNuyuK4eBUHN4cLj,Ango Tsuka,Raiko 01 Zx Kp,Emerarudo,Omu Kos,Arami Gkz,Onikisu Xq
TYR-1336,209,158,0,https://magiceden.io/item-details/CTTYDVpB1QjpH5dU6e6gyjKUScebE2AFGDP9jE3WgPMA,Kurasshu,Kmurei D,Ganetto,Zugaikotsu Gz,Arami Su,Ryori Kos
TYR-0091,250,972,0,https://magiceden.io/item-details/6TSkyCr7TozHHg4mRqmAX3GFrLPLJufexBZRyXfnLmrs,Toron,Selix 17,Daiyamondo,Shobo O12X,Difenda 00Z,Sato X
TYR-0583,295,1952,0,https://magiceden.io/item-details/JAPHZDpfT2LgHAEazTz4o1hy37KD4sMAXYXh3k96J3Gq,Unismo,Raiko 01 Zx Kp,Topazu,Shobo O,Arami Su,Onikisu Xq
TYR-0265,299,640,0,https://magiceden.io/item-details/GbovYyGNJZ3C3rcoid8eSSxmDrXyE7H6vpUDVHLSx5BS,Kotramu,Wotank Glx,Amejisuto,Tanku K,Tako K,Onikisu Xq
TYR-1985,300,325,0,https://magiceden.io/item-details/7F9ddi53vamx3STRoX7rqDan5WDCwez8L3oLUsJjZ6Ex,Unismo,Kmurei D,Akuamarin,Kicho 1,Ude Kpl,Saito Dmg
TYR-1387,300,20,0,https://magiceden.io/item-details/DxbdSBxDVGgGoAMy2z9ZdfXwL9BTaH1As8eDmBCc13iB,Gojira,Kmurei P,Menou,Omu Kos,Tako N0R,Zugaikotsu Zp
TYR-1940,500,1642,0,https://magiceden.io/item-details/BR5z78XVgVKKG1gbWr43dVaqsPMcK41zV3p2gfM4vUGj,Sorinosu,Raiko 01 Zx Kp,Anba,Tanku K,Ude Gf3,Sato Non3
