id,price,moonRank,💎 score (%),storeURL,Accesory,Background,Clothing,Eyes,Hair,Mouth,Name,Weapon
164,0.38,3267,71.96,https://magiceden.io/item-details/9M4Z7Wry5cDBwc4vxeypq2gCb41KQszvvTn47XbVmNsH,Face Paint,Purple,Shoulder Cover,Amber,Dreads,Shark,,Bat
165,0.47,4772,58.97,https://magiceden.io/item-details/9PXipjciYAtUp8Tyv6RaaMpkHc8KbnKyCCUZk5mTrZuS,Scars & Piercings,Lime,High-Class Suit,Blue,Slicked Back,Grin,,Dual Swords
171,0.3,4132,65.81,https://magiceden.io/item-details/DYg8F2ykEim9ciZz9sF3kRmVdCPjAd2ihq8VspjLtgpA,Box Earrings,Rose,Military Uniform,Blue,Dreads,Grin,,Bow
174,0.4,4201,64.26,https://magiceden.io/item-details/8Eda3YyZiR3apHZmTZZGjube5SvkVWcP9gy2WRndmxwm,Blindfold,Yellow,Sensei Kimono,Blue,Side Part,Excited,,Bat
219,0.55,159,95.22,https://magiceden.io/item-details/5BTERJTb7rXyKQm14ABCZoph981M6qBrrSSuHrEFk4Z5,Blue Rose,Lime,Fighter Tank Top,Red,Bun,Bloodthirsty,,Chainsaw
235,0.55,1473,84.67,https://magiceden.io/item-details/4qmGbtUu7S9Whh4hWrESSAEu7G8UzBFPYDiB8riNBUQY,Tattoos,Blue,Sensei Kimono,Sky,Scruffy,Annoyed,,Greatsword
265,0.2,1065,91.45,https://magiceden.io/item-details/4EyVBiLwBNpqTp2axi7pChEc5FPyLfTYn9rkd32RYeKb,Blue Rose,Red,Fighter Tank Top,Red,Wavy Long,Excited,,Greatsword
320,0.49,3930,65.53,https://magiceden.io/item-details/EzS6pWMhWNbJGRY5MiiUJKHqeHNN4xx6yyRNP9TBVaws,Eyepatch,Yellow,Bomber Jacket,Blue,Combover,Tongue Out,,Bat
350,0.25,3777,69.16,https://magiceden.io/item-details/8ZyvxktJcU4RLnxbucq8yQRcq5jnQ3YtciEabM1So5Lr,Blindfold,Red,Royal Hunter,Green,Dreads,Excited,,Katana
438,0.31,3279,72.56,https://magiceden.io/item-details/5rHiuv6wtDkwdc7fPLk7iYa7df1wxAb1X2owG76mQ4Xq,Scars & Piercings,Purple,Bomber Jacket,Yellow,Wasteland Mask,Excited,,Bat
450,0.5,4921,57.47,https://magiceden.io/item-details/QvcX1oLBnCcxUNmT7hWY33vjzKSamL59jmGBKDsvbNY,Glasses,Lime,Casual Tee,Blue,Wavy Long,Grin,,Dual Swords
512,0.27,2789,76.9,https://magiceden.io/item-details/9A2j2vHGBi4U9ToVmb266pW9jRzY6kGRAzhXN3mAETGH,Face Mask,Rose,Sensei Kimono,Amber,Spiky Cap,Shark,,Greatsword
513,0.5,4863,57.94,https://magiceden.io/item-details/3zkrrz27TPzbKvmp3iMPSzzmiakZxLsknujBLw6k7SwN,Blindfold,Purple,Military Uniform,Orange,Slicked Back,Neutral,,Katana
519,0.49,3263,70.89,https://magiceden.io/item-details/2JfpkzCwJYQoUMKS8pUS6KLStgKaaquBZ5dQxjuLDELF,Blood,Orange,Vacation Shirt,Yellow,Pushed Back,Neutral,,Dual Swords
538,0.41,4112,64.87,https://magiceden.io/item-details/B9eAPQRezscgJ6m2PCR4pYiZVnW5USsXxM23RwEG6Puw,Blindfold,Blue,Shoulder Cover,Blue,Headband,Tongue Out,,Submachine Gun
550,0.55,3707,66.72,https://magiceden.io/item-details/9dComGqeqCXHzoEMX1Toiw3ghZ31sJGWTdJdzQicpsE5,Scars & Piercings,Lime,Fighter Tank Top,Purple,Wavy Long,Neutral,,Scythe
562,0.29,4968,59.2,https://magiceden.io/item-details/CobQNZFd2m2QiUuvptj3b3u8nSHGkuAsFpoAwe6RFFVT,Face Mask,Teal,Vacation Shirt,Green,Middle Part,Neutral,,Katana
642,0.549,2238,78.53,https://magiceden.io/item-details/6VXnwsSptViowowH2xo6HiPHL5qH7cakDWuDXhhrgFRW,Eyepatch,Rose,Bomber Jacket,Empty,Cutoff Bun,Tongue Out,,Katana
678,0.35,4049,65.98,https://magiceden.io/item-details/43gciEDZYdoug1hA13srFVY3bWtnk6zN4pvKTLFqhrAN,Box Earrings,Yellow,Street Kid Tee,Green,Bun,Annoyed,,Bat
695,0.5,3430,69.45,https://magiceden.io/item-details/6GfMuDXqyRJp5iyAwss5ajoULDhaW4ngetZ8qKBTTa7n,Bandaid,Teal,Fighter Tank Top,Black,Cutoff Bun,Annoyed,,Dual Swords
720,0.549,3771,66.22,https://magiceden.io/item-details/7kczGqfXmF14gsGmRQAntLoR66mQjpuZTPKLVarh7HfJ,Blood,Yellow,Shoulder Cover,Red,Wavy Long,Excited,,Katana
726,0.29,3314,72.48,https://magiceden.io/item-details/Aw4ZX48JNHNS2VX8zbHddAymmAApr9XrPf9LuZc3HtUx,Box Earrings,Orange,Casual Tee,Red,Wasteland Mask,Neutral,,Bat
774,0.5,3070,72.34,https://magiceden.io/item-details/65CUAqkc2zncwAuAbHoB8UhRbE3fDzFhKu7kfUFWYpCg,Scars & Piercings,Rose,Casual Tee,Orange,Wavy Long,Cigarette,,Dual Swords
784,0.4,1222,88.18,https://magiceden.io/item-details/4QAJJG82pAMdHoEHUn4i5ePqmPBwA8bWGtjpVm9jPcHL,Gem,Teal,Casual Tee,Green,Middle Part,Bloodthirsty,,Chainsaw
806,0.35,3633,69.32,https://magiceden.io/item-details/Ds5wdmLB9H92XrvF7kfG8n5kv45apQBQprVkPxrpwWXo,Scars & Piercings,Orange,Bandit Tee,Orange,Cutoff Bun,Annoyed,,Katana
807,0.37,2097,81.46,https://magiceden.io/item-details/FQ6DfFzfPNZ2KXdnymwpuarkwPP4d9KpnAhYwEC472dm,Eyepatch,Red,Robot Tank Top,Amber,Slicked Bun,Neutral,,Greatsword
811,0.55,4980,56.5,https://magiceden.io/item-details/FbuYkounyg6cLFm18GkkRtk9MxH895FtqTovumAJr8Td,Glasses,Teal,Vacation Shirt,Blue,Slicked Back,Excited,,Katana
888,0.5,2138,79.83,https://magiceden.io/item-details/zVduGuHDZSfCpcSmV1G72bor4tAJGQMpKXxSyQSVQ58,Bone Mask,Blue,Fighter Tank Top,Red,Slicked Up,Grin,,Submachine Gun
911,0.55,3887,65.28,https://magiceden.io/item-details/7snnBNnYtLKUa3ySAorYbCxLDYmfWKbUbUvtGE5Lv3F,Gas Mask,Purple,Casual Tee,Blue,Middle Part,Annoyed,,Bat
914,0.24,4510,63.38,https://magiceden.io/item-details/CHPcCHBzwFgk5ZsBYtsmQUjnH9dKA5sSQnhmyV4HPaUt,Tattoos,Rose,Street Kid Tee,Amber,Wavy Long,Neutral,,Dual Swords
956,0.29,1959,83.37,https://magiceden.io/item-details/42paWeXWtjuP2G1fN8NTNoRjpcDeoBKv7coxwTPoVUaG,Scars & Piercings,Purple,Military Uniform,Black,Dreads,Tongue Out,,Chainsaw
983,0.5,3823,66.29,https://magiceden.io/item-details/4f6rrhuvJPkMYyZ5u5JQrCCyAm7kx8ZU4T9mLmpC858y,Box Earrings,Red,Casual Tee,Blue,Slicked Back,Cigarette,,Katana
1005,0.5,4807,58.39,https://magiceden.io/item-details/5LRgkhR3g5FUWhih5pJE1PUn6VSwgF2i4A5fFujWdB7Q,Bandaid,Rose,Military Uniform,Amber,Wavy Long,Excited,,Katana
1043,0.5,4834,58.17,https://magiceden.io/item-details/GhVVhLhVHTkCXwCfaMN3vXxGmMCBumGyV4uoJ5LxubYT,Face Mask,Lime,Sensei Kimono,Blue,Slicked Up,Tongue Out,,Submachine Gun
1045,0.5,2966,73.18,https://magiceden.io/item-details/FqSbmvSVsishoaqygt5KeSZ8otUtxv3g6akAyaTQzikE,Bandaid,Purple,Street Kid Tee,Orange,Long,Grin,,Greatsword
1092,0.23,3451,71.98,https://magiceden.io/item-details/64vn7csbPvYtGdSwEQZ8w55Sq16pt4xkpW4uwr83DAxv,Samurai Mask,Purple,Casual Tee,Purple,Dreads,Neutral,,Dual Swords
1103,0.5,1264,86.85,https://magiceden.io/item-details/Fick8RwQJfn6JLsrC7S4EKAQPrAdBavXQnAnmsp5bFwp,Face Mask,Orange,Street Kid Tee,Black,Side Part,Bloodthirsty,,Bat
1110,0.28,2375,80.12,https://magiceden.io/item-details/SEm4ZBVRVB1Uetn3a3cxTZLWErsqfbYowqpXj6ZQ8PF,Blindfold,Teal,Streetwear Windbreaker,Green,Spiky,Tongue Out,,Bat
1139,0.38,2645,76.96,https://magiceden.io/item-details/E1U2mxPKFJpuEERDPiGPTYGStAV2Qrv2VeQ2jfVU283s,Gem,Rose,Streetwear Jacket,Blue,Slicked Back,Grin,,Submachine Gun
1152,0.4,2674,76.52,https://magiceden.io/item-details/7DBhuYEmT5WbUCjpHsd1WcZPNbPzm719ZWA5F6cHcpf,Blindfold,Blue,Robot Tank Top,Orange,Slicked Up,Annoyed,,Bow
1203,0.49,3715,67.26,https://magiceden.io/item-details/4d1Hs3DP17QNvue8CWiZm1rQXtEhSFXQKuQGmxm7ziXZ,Scars & Piercings,Orange,Bandit Tee,Empty,Bun,Excited,,Submachine Gun
1264,0.35,2906,75.16,https://magiceden.io/item-details/FQbDnzqdCvdkxCM2msPadzNaxxA3ZzbyGZVg6YH11pFd,Blindfold,Rose,Military Uniform,Yellow,Pushed Back,Neutral,,Bat
1344,0.4,684,92.51,https://magiceden.io/item-details/5pzqdjgsNTFGFRe32JhAkiFnJbwqjZ86cQsEDr6xbG97,Blue Rose,Rose,Street Kid Tee,Sky,Headband,Shark,,Katana
1378,0.5,4220,63.1,https://magiceden.io/item-details/J9yx3hkUBRLpyen5zygn1D5uWMshWREAyKWJkRaWHiQd,Glasses,Yellow,Streetwear Windbreaker,Blue,Wavy Part,Neutral,,Katana
1399,0.45,1971,81.67,https://magiceden.io/item-details/C3kWKkgafaEtfV1EQBA1VQ6QjSjpANy9cSptnvpPLzFM,Eyepatch,Rose,Vacation Shirt,Amber,Slicked Up,Cigarette,,Greatsword
1471,0.5,767,90.84,https://magiceden.io/item-details/EDLno19Uja664qFkyPjCp4T1mgu1UAVioxVof3Pjcy2v,Blindfold,Purple,Chemsuit,Orange,Bun,Cigarette,,Bat
1472,0.55,567,91.95,https://magiceden.io/item-details/2fBbrfRjChL4JRRi19UoFSSioGZiCYdvVSkYjp3CKn4b,Samurai Mask,Yellow,Royal Uniform,Black,Wavy Part,Annoyed,,Katana
1609,0.5,4652,59.63,https://magiceden.io/item-details/5UFgRuZKQcatxPj78uTMwErs7QJDcnnkFFqewGaH9jFH,Blindfold,Rose,Royal Uniform,Blue,Headband,Neutral,,Bat
1720,0.55,4870,57.38,https://magiceden.io/item-details/BdQnbNK1XtAQsEGwbcoaZqwsSwUpnBcE7Sjg61pXKvbL,Box Earrings,Red,Casual Tee,Purple,Slicked Up,Neutral,,Dual Swords
1749,0.5,3507,68.83,https://magiceden.io/item-details/DKTQpdEiB5oT8jSUzzBURM3TJfnFY2dYGPsbpGQvKzwc,Box Earrings,Blue,Casual Tee,Empty,Middle Part,Tongue Out,,Bat
1768,0.499,3922,65.51,https://magiceden.io/item-details/DwpZzFa697b8vAn8zVtyaL5tVFjEnkNp1p9tHT7zsKWv,Eyepatch,Orange,Sensei Kimono,Orange,Wavy Long,Shark,,Katana
1817,0.5,2600,76.12,https://magiceden.io/item-details/7LL7sChAx3LD27rWWwrFfBSTLqU5LQLEv61MCnk7yKov,Eyepatch,Purple,Streetwear Windbreaker,Amber,Slicked Back,Tongue Out,,Bow
1818,0.53,3857,65.72,https://magiceden.io/item-details/AyWwdueAgMtLer6SKtVAeEtaU9z7bqNcNRsSHuvVVTgJ,Face Mask,Rose,Military Uniform,Amber,Bun,Grin,,Bow
1948,0.44,4354,62.63,https://magiceden.io/item-details/o8abCkndg31QFDR6EemQNhjo93wX6ndRqfZy6SHKQjd,Blindfold,Yellow,Street Kid Tee,Green,Slicked Back,Grin,,Bat
1988,0.44,695,92.02,https://magiceden.io/item-details/3qegsuudjG2na1FU2n6NFyEtNd9xEwedGfQqsspWZVfk,Eyepatch,Lime,Bandit Tee,Amber,Slicked Bun,Cigarette,,Greatsword
2030,0.5,2260,78.85,https://magiceden.io/item-details/54qB6Jp9s82qg94n7NaFWn9imaZsHcKCuum93Tp4fR4a,Bandaid,Orange,Street Kid Tee,Purple,Scruffy,Shark,,Greatsword
2035,0.5,4887,57.75,https://magiceden.io/item-details/8UjAkHkxe8LHuBWUu7NYfnDgmFoMFZKszvq1PtvHhwDm,Face Mask,Orange,Fighter Tank Top,Purple,Slicked Up,Annoyed,,Dual Swords
2061,0.29,4469,63.2,https://magiceden.io/item-details/EmqHjMZ7vqvJ9h1FoVsSHPrhKMQL1DfaddxytUDcyNvA,Blindfold,Purple,Casual Tee,Yellow,Wavy Long,Annoyed,,Bat
2099,0.38,4504,62.02,https://magiceden.io/item-details/3Yjs358ioUmhTBAAhYv8JbPPR57mdhv4YKtXhmctnrhi,Face Mask,Yellow,Sensei Kimono,Orange,Scruffy,Annoyed,,Bat
2146,0.5,4094,64.12,https://magiceden.io/item-details/86EU963cug2URfN9Wtx1GRDGQFjawm9FhVhgSoVPKCQ7,Blindfold,Orange,High-Class Suit,Amber,Slicked Up,Grin,,Bat
2191,0.4999,2274,78.74,https://magiceden.io/item-details/BM482ubu8hvY8bbHdA2o6hj8jgyPpkWRxoJgaAJwEsgb,Blindfold,Blue,Sensei Kimono,Orange,Slicked Up,Bloodthirsty,,Bow
2192,0.55,3332,69.74,https://magiceden.io/item-details/55VdoT9snK64jwhJr2thKz2bzyFwkEj4icGnDSgg8aZa,Blindfold,Yellow,Bomber Jacket,Yellow,Wavy Long,Excited,,Bow
2204,0.5,3234,71.02,https://magiceden.io/item-details/HHdD6iH4d5rHEsKjy83fwWSwEZeUYC8dB7wX9h8BLW5Y,Tattoos,Red,Shoulder Cover,Blue,Scruffy,Neutral,,Scythe
2249,0.45,1694,83.89,https://magiceden.io/item-details/9fCHVHejGpWPcNLjWRw2CS5JaJhPvEYSB2xLMWzd8122,Scars & Piercings,Teal,Military Uniform,Orange,Scruffy,Grin,,Robot Arms
2263,0.549,3161,71.12,https://magiceden.io/item-details/9qwdxpenur8zjZnH6LtaoU1Tya3Ufi7zA8xKjrRVWcBz,Face Mask,Yellow,Streetwear Windbreaker,Purple,Spiky,Grin,,Bat
2272,0.5,1045,88.61,https://magiceden.io/item-details/7RmCpMv5GMDoG6zR6jGYUEYeUzS68A3LwxYHAntwLwrf,Tattoos,Teal,Royal Hunter,Empty,Bun,Grin,,Chainsaw
2307,0.55,1844,81.69,https://magiceden.io/item-details/F7t2EFtyiq96P95R2JyNaSDNvsoV7bRc4FUPyQzrDvDd,Blindfold,Orange,Sensei Kimono,Black,Scruffy,Shark,,Bow
2319,0.55,1169,87.11,https://magiceden.io/item-details/BoDdBgwKqqTyN8UQfzs1YvKGfZXCzqTU9mABfVzZVwPx,Mecha Beak,Lime,Shoulder Cover,Black,Slicked Bun,Neutral,,Greatsword
2336,0.5,1958,81.27,https://magiceden.io/item-details/6DRSfTRrTWb3pi5rnUWw51MfWBe4rS8F7UGaBXK7j8Po,Eyepatch,Orange,Fighter Tank Top,Black,Combover,Shark,,Chainsaw
2341,0.35,4683,60.89,https://magiceden.io/item-details/8bw5YxHV32DKCQjaaDSkPqu5u6oEVL6kWCDgD83crh5h,Scars & Piercings,Blue,Shoulder Cover,Orange,Slicked Up,Neutral,,Greatsword
2360,0.56,2350,77.52,https://magiceden.io/item-details/97SGfmjL8PZkBogthfpYtRN4aTQSwRf8B4vdK36tbqo6,Bandaid,Rose,Royal Hunter,Green,Bun,Tongue Out,,Bat
2379,0.5,3952,65.26,https://magiceden.io/item-details/3Jcw4o6qqvBe7rMQgxuAG2ahw5NExeHdc56qerbVfx6E,Gem,Lime,Shoulder Cover,Orange,Slicked Up,Grin,,Bat
2395,0.5,3744,66.93,https://magiceden.io/item-details/34vdFaTKbqnBo1QVZybkQKfkWeRx8fBKnbGh9QUZGrHM,Box Earrings,Yellow,Sensei Kimono,Orange,Long,Annoyed,,Dual Swords
2443,0.5,3057,72.45,https://magiceden.io/item-details/8zRaRpjJG8dA89UE6pRUmd5fnCSQMHHQSdHR9tMo8dKn,Blood,Red,Bomber Jacket,Red,Spiky Cap,Neutral,,Katana
2464,0.5,3361,70,https://magiceden.io/item-details/6LHtnUXz3rH2Ew7vcMi2qnphkDNdD4GVnkrJDdkttNBc,Eyepatch,Lime,Bandit Tee,Purple,Dreads,Grin,,Dual Swords
2502,0.55,4707,58.69,https://magiceden.io/item-details/DkA5QkwUQzyuYTY2f6hBtH6KjnQQojV7xW8vVbDG7DQ7,Face Mask,Blue,Casual Tee,Green,Spiky Cap,Excited,,Bat
2504,0.53,1371,85.69,https://magiceden.io/item-details/EZxnWTfbXDopAWMjCxG7vbR4JHHwjrUEipTTSPkRbDno,Samurai Mask,Orange,Sensei Kimono,Red,Dreads,Shark,,Katana
2509,0.5,2008,80.87,https://magiceden.io/item-details/B2TAyz6NuMakm6m7yg6utM9SELPMiDU6B3no7xLou8qR,Glasses,Teal,Royal Hunter,Purple,Middle Part,Tongue Out,,Dual Swords
2527,0.5,4817,58.31,https://magiceden.io/item-details/AjpEREuj8wbjUTdGAoNGzaLnnNQfk2y5HWSLnv78tfHQ,Blindfold,Lime,Sensei Kimono,Empty,Wavy Long,Neutral,,Katana
2531,0.549,2170,79.08,https://magiceden.io/item-details/43Jv29ghBJ436GL59VLziPbv4pDyZVZkL4W8tNAs835u,Face Mask,Blue,Shoulder Cover,Green,Middle Part,Bloodthirsty,,Greatsword
2559,0.5,4557,60.4,https://magiceden.io/item-details/4tgHxwhEo4HoKcVNUKtU31zTSfCTWsQEKYZKabnwatqX,Blindfold,Lime,Casual Tee,Amber,Wavy Long,Neutral,,Greatsword
2571,0.45,1860,82.56,https://magiceden.io/item-details/B1BVx9TxXDvD8KuVwrGB3eSy1o96NRGPMC8gqNopyLD6,Face Paint,Red,Fighter Tank Top,Yellow,Headband,Cigarette,,Bat
2572,0.5,4883,57.78,https://magiceden.io/item-details/62HWe3DisXaodtjgqySBNdCdrb1epoHcdduPkJ3rQdtB,Gem,Rose,Street Kid Tee,Blue,Slicked Up,Neutral,,Bat
