id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Eyes,Glasses,Hair Hole,Hat,Helmet,Mouth,Ski Mask
Catalina Whale 1288,12.08,5194,62.5,https://magiceden.io/item-details/D6kM2EwDPhGBSDifXGv3MTCRBSCoBX6cNEAVzDv9Lpfi,Inertia,Grey,Black Hoodie,Squinting Eyes,,None,,,Frowny,
Catalina Whale 262,12.099,2682,80.45,https://magiceden.io/item-details/Di78yYczYCpPxGz24br1ibQPVv3hWntwur5wfNRLtn89,Inertia,Orca,Flannel,,Gold Spectacles,,XL Orange Beanie,,Blunt,
Catalina Whale 2712,12.1,4096,70.23,https://magiceden.io/item-details/5D5TwHsGyFA31eTpGint7yYBab2GkkvzxK8Frgb88fCe,Hemisphere,Orca,Camo,,Black Sunnies,,Black Bucket,,Grin,
Catalina Whale 2220,12.2,4566,65.83,https://magiceden.io/item-details/7FueJwa3368MXMnZd78w6WKRQYJCeax9bsXyuGsV2Ne3,Hemisphere,Humpack,Country Club,KO,,None,,,Grin,
Catalina Whale 4978,12.29,2555,79.45,https://magiceden.io/item-details/83q28VDgEvxBJ8MrV98YjTpmsHJyjFNVR7eAJjjCa2aE,Hemisphere,Aqua,Aloha Red,,Black Spectacles,,Woodstock Red,,Joint,
Catalina Whale 1873,12.4,3172,73.9,https://magiceden.io/item-details/AacWsh8WCC9GknfasQUMxkpzyMJxjDARxrY7s269qDD5,Fossil,Orca,Lumberjack,,Rimless,,Sweatband,,Stogie,
Catalina Whale 3973,12.5,4498,63.32,https://magiceden.io/item-details/45C3yQPjjaY3s1Ktx79HT73fxQJ5xX1gQKR47BiDCxdn,Beluga,Humpack,Fly Guy,Sadboy,,None,,,Frowny,
Catalina Whale 4637,12.75,5350,54.67,https://magiceden.io/item-details/65F8YAgQQJ3EKdogdXYDMUjkrz9TKsbgVip8bDZmtJny,Beluga,Aqua,Desert Storm,Hypnosis,,None,,,Cigarette,
Catalina Whale 3063,12.9,2670,72.52,https://magiceden.io/item-details/F8ZeHVToQ475MQFvGZ924NFLoQPcqZD1HSzHrpLX2nU1,Geo,Grey,Aloha Red,Bloodshot,,Punk,,,Joint,
Catalina Whale 3708,13,4015,61.81,https://magiceden.io/item-details/3iah41oPADkRC7rdpKwcpW1niFMzSikCTxcQoH3Rw12c,Fossil,Ape,Flannel,Sadboy,,None,,,Grin,
Catalina Whale 2242,13,5389,51.89,https://magiceden.io/item-details/BBhUfLd5wctdWCcoyWotR3csBVNVTScN6DQBqoDz8L2F,Fossil,Orca,Classic Hoodie,,Rimless,None,,,Smile,
Catalina Whale 5220,13,2735,71.05,https://magiceden.io/item-details/J4TQycw1dZqx7n9WCxUJk5buUgB68rj4L9WPDcAT8zD9,Sand,Aqua,Lowrider,,Rimless,Punk,,,Blunt,
Catalina Whale 4964,13,2568,72.26,https://magiceden.io/item-details/6b7zEkeUcTwGHzgAm9u32RNvV5dBet2PRWsQZfjeEpNc,Beluga,Grey,White Tank,Bloodshot,,,Woodstock Purple,,Cigarette,
Catalina Whale 3828,13.33,4896,52.15,https://magiceden.io/item-details/Aa3x39KB8YHDJTK3LTfmri8xEP4jab9WtQ3es8oq48K6,Fossil,Grey,Desert Storm,,Vipers,None,,,Hook,
Catalina Whale 5088,13.4,4054,57.53,https://magiceden.io/item-details/4fHaEdTPTpf7ujv2RJpqcZ3UUKg8DMoqTEg8EVnL15Ex,Inertia,Orca,Sailor,Raver,,,None,,No Teeth,
