id,price,moonRank,💎 score (%),storeURL
0006,0.25,1471,79.4,https://magiceden.io/item-details/GFv8QhmjPdjR7AAuRQeAQTTi5MHVrWsz5G6CQiTbYH1g
0012,0.4,2884,58.3,https://magiceden.io/item-details/2v4vM7zWcJKdrN9AFrUxVeHoKN6hvcZPp2JYYWgSyBDF
0159,0.24,1808,74.82,https://magiceden.io/item-details/HdFRP4nwpoCRoi34wodPK9MNTv5GyD81UVKQQ6g9jxNc
0215,0.25,2444,65.9,https://magiceden.io/item-details/8UQG7XBMXhGfsxR6gMrQgeYqzVxdKeuWQAfiiLrU2TAV
0258,0.23,1938,73.12,https://magiceden.io/item-details/8BuVmuBTmrYtnK6xQ5tWznCAVzSrU96K8HGFyx717555
0534,0.35,600,90.48,https://magiceden.io/item-details/4qBoCnnKf9FBfZfNNe1p54Ksd52e8FPTWWMTpdsn7gLt
0548,0.25,2663,62.87,https://magiceden.io/item-details/7hF3bzFHekXtumXwLUccK8YaCtE31LGm4HvkxACmCUcg
0596,0.23,1093,84.84,https://magiceden.io/item-details/GeNwL6yjzQxRTyRi6WUeu6bxdXiSvee3itsh14W4KsKf
0783,0.44,2253,66.65,https://magiceden.io/item-details/FFXzHWgU3ktCi4fEQ1Mac9o27DvRwZgnCYuNxx7gqkvV
0786,0.37,1748,74.36,https://magiceden.io/item-details/7NPsgSMEoBHdXGU8gdkF9baZj6XiWhb5JbDw6qoGJfbV
0797,0.37,1958,71.44,https://magiceden.io/item-details/2xNSNv4BNGfqoQ2EvivxRxXkjdS4o25KpEQnzyFPLqs3
0808,0.37,2479,64.22,https://magiceden.io/item-details/49gXrtpkZScr3YsrrTLjLpWboCwMiqDhJB9e4rfSnveK
0818,0.377,1753,74.22,https://magiceden.io/item-details/Ca1ih7C2w1kjH46x7769i3XnPQtTDSYySJT3JvcXVx3v
1029,0.48,1377,78.4,https://magiceden.io/item-details/BW1YJK8VJPPoTv5ZUNDBrQ13kgM86v2F8GZXjTinrLnx
1147,0.48,778,86.71,https://magiceden.io/item-details/5mKghoV8E6FHtTjq2S6fXWcfgQ4EmHuGfpRp7moudEw4
1203,0.38,503,91.52,https://magiceden.io/item-details/BNnnyF6kSdk32nCsTY14cc6oLMzGR4L4qa1DJxeshdvR
1317,0.29,1105,84.07,https://magiceden.io/item-details/CGDgR6821xs9vaYMfkEno3VesYKnB6QDMk6bxsCTRDk4
1562,0.38,1267,80.93,https://magiceden.io/item-details/5NrCLhPREWuarkoPEZrTruFFZfScRmu7SStmMFddwVLD
1834,0.25,NaN,0,https://magiceden.io/item-details/CfKaTsWXA1ZtapaJXTMoVQPFkRPfYjjfiDkPLqcVPNSz
2017,0.3,2131,69.74,https://magiceden.io/item-details/ATCgQud4Z1SErVQj9RkfxkpNMoQ3uqDRmAA41wLMkBwt
2116,0.4,590,90.12,https://magiceden.io/item-details/CHwg2RSZamJaAjrDCJUxQiwfaXC5VMsfDDXTk5vJSLVk
2144,0.45,2289,66.05,https://magiceden.io/item-details/ENcZ8VjXkxJHDqmH35YwRsSdXvLPf4DHkQXfr7r13tBH
2300,0.35,599,90.49,https://magiceden.io/item-details/TMzWtAhoar4dRb9yqho2f8PxdrcBs6oZPbEj196H8Ak
2357,0.35,773,88.08,https://magiceden.io/item-details/5fSfmVgLPSigDqUexrKmmWjnTdbhyzcrFNTzgYUBEtGy
2418,0.35,1974,71.42,https://magiceden.io/item-details/HMgoHurwDaxmoG1ioTJ9k4ymSkhjmnjfWbrJHxbU8B5i
2472,0.34,2856,59.29,https://magiceden.io/item-details/6YrafNJhEpd2Lf8Gs1nzySMTy9zGDjzWxNM1BJsW65c1
2692,0.23,2243,68.89,https://magiceden.io/item-details/9X1Q3x3QScaNry43R3MG73YM43Vi3t6KV7JZ5qQUyBT5
2789,0.37,2154,68.72,https://magiceden.io/item-details/GxANDEtBqN7LH9oCQZqtRW9qjmCzV5gRvK6SBXnQ4FW1
2801,0.37,779,87.8,https://magiceden.io/item-details/CJ2QZfE2BLrB6uCmaRU84wxwAB6nnk94Q9PSmsUpWYJz
2811,0.3,NaN,0,https://magiceden.io/item-details/EX79sH8K94N7XzgJBpTk9QLvND5DQYgRomXwKecnZvz5
2900,0.45,2607,61.64,https://magiceden.io/item-details/DezHeY9PfjEb6UA9TSzaLuwMRbx3puk7vAeWxDFYCxrn
2967,0.3,NaN,0,https://magiceden.io/item-details/J7poUMsUMC4Z2rzHTHz92s5xgUHJezRZ6i4Hz4ZB2kuc
3084,0.37,1945,71.62,https://magiceden.io/item-details/Ato4v9c3UNbxVWpTdDNFG8FY7XodXYP1M2YosqXMnq1y
3088,0.25,1961,72.6,https://magiceden.io/item-details/3Jf4Q6DmKuoTFNVgZ9VFqm6pQDBj4PBop4iWLZUPV2CF
3180,0.37,1295,80.64,https://magiceden.io/item-details/FTsFKMguXtd5zc8MGaN397vFfCz1EFFPyj7LfQLDxTzb
3203,0.23,1663,76.93,https://magiceden.io/item-details/CuSSeyMiZt1RrgxF9iRB9LHRKMEwrrWH1Fpj3YHX27MD
3248,0.37,389,93.2,https://magiceden.io/item-details/D3yzibqaPkNcDMuTyC9sfCbUM9rgrBwvFvGm9Jx72TT4
3273,0.37,1693,75.12,https://magiceden.io/item-details/4kXHo8Ef5GNz5feLqdjLopFDkexWy2VxApCfuB3F6sRC
3308,0.3,NaN,0,https://magiceden.io/item-details/AcN9jNTyWiohAJRLv97mk5GhRaj7PUHHtcQknn3ffXp9
3331,0.37,662,89.42,https://magiceden.io/item-details/D9Vc265vZMZ9dM7kj1MQBi2HHarBAwk9aWyFXTpLH7FJ
