id,price,moonRank,💎 score (%),storeURL,Background,Big Item,Floor,Floor Item,Grand,Room,Small Item 1,Small Item 2,Story,View,Wall,Wall Item
1-2,50,5038,0,https://magiceden.io/item-details/3W5GX7YfKhrxWnekefSoPNo1sW23YYxzeTRoekU5DX2f,Teal,Brown Chairwplant,Checkered Tile,Lightbrown Rug,,2,Bike,,1,Blu+e1,Darkgray Stone,Heart Sign
1-9,9.5,6332,0,https://solanart.io/search/?token=XMPq75rECNZ7t2AhUtyS3T7u8YTgmgUmJU9FPip8E6a,Rose,Orange Couch,Hay,Sneks,,9,Bike,,1,Pink,Junglevines Tree,Sol Marble Sign
1-7,33,7474,0,https://solanart.io/search/?token=BVutMNWPtpYKP2qsSGmPETa6MXbp8Pnn11wGxNKhF7Ad,Blu+e1,Silk Couch,Carpet,Fish,,7,Candymachine,,1,Black,Bamboo,Gray Clock
1-10,111,6907,0,https://solanart.io/search/?token=DHBjHh25yNSzWZZq5Dr5RQtukPafynzJawRMxEuiYckE,Purple2,Marble Kitchen,Gray Tile,Rocks,,10,Coffeemachine,,1,Blue2,Futuristic Panels,
2-19,1.9,3391,74.14,https://magiceden.io/item-details/DTK42MrjGkPyWschQy76dvmPCFBYNJFVZ63wPxnF8F5o,White,Silk Bed,Black Wood,Baseball,,19,Brown Bedtable,Solanavisors,2,Goldwhite,Futuristic Panels,
2-20,2.5,2392,72.17,https://magiceden.io/item-details/CtmdRj5j3GUbxkqfZw2Afd5Pfr6ah4Q3whXyJVULwP2K,Burgundy,White Bed,Dirt,Bananas,,20,Brown Bedtable,Wizardhat,2,Orange1,Junglevines Tree,Neon Arc Red Sign
2-12,3,7997,44.6,https://magiceden.io/item-details/7QBDPXcYroFMSPoqLQPGkZLn9az9BzBqJvYDiHoGxyme,Green2,Lunch Dining Table,Black Slate,,,12,Brown Coathanger,,2,White,Darkgray Smooth,Television
2-13,6,8519,12.49,https://magiceden.io/item-details/22NRmxtLCXiHYDhoC6Sux1wCc3CzCHSLVHrM6fQwwA9Q,Blu+e1,Lunch Dining Table,Brown Wood,Bananas,,13,,,2,Peach,Concrete,Neon Arc Purple Sign
2-16,7.5,127,31.29,https://magiceden.io/item-details/2v4Dqa4uMQBZzurP14NbXXiMwLPk6p7tLgCg38PxPVPH,Pink,Paintersdesk,Lightgray Wood,Lightbrown Rug,,16,Easel,Paint Supplies,2,Green1,Black Smooth,Binaryclock
2-15,5,7339,27.25,https://solanart.io/search/?token=8oPJAnoJ1EAFgWinYesqmM1WQTn2iRUmYTdy67j4M7Wu,Pink,Marble Kitchen,Hay,,,15,Toaster,,2,Peach,Darkbrown Planks,Infinity Sign
2-7,6,4114,30.23,https://solanart.io/search/?token=2LzAokcNNw7iGafTu96knVPQsPMKCAQgtdQUrYv4f8th,Purple3,Purple Cornered Couch,Lightbrown Tile,,,7,Ottoman,Modelplane,2,Black,Gray Panels,Candles Shelf
2-1,12,4954,0,https://solanart.io/search/?token=8A18tAfxEG36swx7MhpPrbhFm9nEH2p4As2ytjbcsYPv,Green2,Futuristic Cornered Couch,Carpet,Bananas,,1,,Plushiebear,2,White,Green Crystal,Clapperboard
2-5,25,4267,0,https://solanart.io/search/?token=4Cb4EfgBp3o7gzK5VZDNepeCRc9VLFqqmBMHjNXfAk9H,Blu+e1,Green Couch,Mud,,,5,Glass Coffeetable,Hourglass,2,Goldwhite,Gray Panels,Gold Clock
3-11,1.55,9410,53.41,https://magiceden.io/item-details/4JWb31P6JWY9wAES6qevWtHYuYn5FNBCzPR3vY7MXoRx,Purple3,Lunch Dining Table,Void,,,11,,,3,Peach,Brass Metal,Sol Black Sign
3-17,1.99,9036,50.51,https://solanart.io/search/?token=2Wx5WNx8nQp8g8vLjjAGDMaonUkZvqNpybgbmxcmznxw,Black,Blue Couch,Lavarock,,,17,Candymachine,,3,White,Jungle Tree,Sol Marble Sign
3-6,8,6154,2.02,https://solanart.io/search/?token=8vN6oq7WdGrtP1Hzxg5XpYN1YMfgTVCcFPQXTSb9HyYG,Green1,Gold Couch,Checkered Tile,Confetti,,6,Cartire,,3,Green2,Futuristic Panels,Dartboard
3-19,999,3834,0,https://solanart.io/search/?token=G46oYmZvWyjUaZ3xvE4SVan8QfgCP1eFvnpnHhSjN4a1,Pink,Gold Couch,Carpet,,,19,Safe,Cigars,3,Orange1,Concrete,Gold Clock
3-16,2.68,7624,49.3,https://alpha.art/t/Gqfj9JyxvpXdHjXRJXTWFwj5bbQxwayJJ2A77XqC7FL8,Green2,Ice Couch,Sand,Sneks,,16,Minifridge,,3,Purple,Blue Crystal,
4-10,3.5,86,71.45,https://magiceden.io/item-details/EX3NrkBVTbEBdNVeRZYtf8YFt2ifYHDozSKsJ2L16Gpg,Purple2,Treadmill,Brown Wood,Cotton Rug,,10,Barbell,Kettlebells,4,Red,Steel Metal,Infinity Sign
4-17,6,1673,40.06,https://solanart.io/search/?token=6sbyuuDp4cZYrRRGcVGLuq4fiPpUDfU4YZvPv7V3JmBm,Rose,Gray Deskwchair,Carpet,Confetti,,17,Candymachine,Gold Supplies,4,Blue4,Lightgray Smooth,Neon Arc Purple Sign
4-18,17,1753,0,https://solanart.io/search/?token=GvPGRTumWAj5HGS9iR8VD8bYDsQse8gqeCTs1jx98NAt,Turquoise,Futuristic Cornered Desk,Lightgray Wood,Sneks,,18,Coding Supplies,Sunkenship Acquarium,4,White,Lightbrown Planks,Gray Clock
5-4,3.2,8832,39.23,https://magiceden.io/item-details/FN4EDYXtT9XzWjXtEMRTYnuga1MxU49iteCSsb1cxgyU,Black,Djstand,Brown Wood,Bananas,,4,,,5,Green1,Forest Tree,Neon Gn Sign
6-5,3,7237,47.66,https://magiceden.io/item-details/Da3WC2bhJUYJWFVHv198H7AddjeftuTRmpYHbYxyAhST,Green1,Futuristic Cornered Couch,Black Slate,,,5,Pyramid,,6,Goldwhite,Gray Bricks,Neon Arc Blue Sign
6-15,8.5,9518,0,https://magiceden.io/item-details/Bo4Ks7co6wtvphZkrWk5x53wujpfhvk1C41m172skMai,Black,Djstand,Mud,Sneks,,15,,,6,Red,Gold Bricks,
6-10,3,6817,49.35,https://solanart.io/search/?token=B1DXNPrEJNYb1G2bvWMRV1sqmw1iGnxzpr6CANgFsuyE,Green1,Brown Cornered Desk,Lightgray Wood,,,10,,Shark Acquarium,6,White,Steel Metal,Neon Gm Sign
6-8,5.4,4125,36.19,https://solanart.io/search/?token=CL8LHzVsqEkVEA2H8gEjudd9je2tK46Ui61yf2CsgdZY,Purple1,Bathtub,Dirt,Confetti,,8,Candymachine,,6,Blue3,Solana Smooth,Earth Poster
6-20,20,1584,0,https://solanart.io/search/?token=6oLiEaNRRiie2KXF2CT5MTSWc492nLP53EEqrUFGTAwP,Purple1,Blue Couch,Checkered Tile,Fish,,20,Minifridge,Cash,6,Yellow,Concrete,Ice Clock
7-15,2.28,6434,58.09,https://magiceden.io/item-details/GBraG7theueLhhevHY2HW3cLMbSbUVRYXcL5zaFYjRGw,Purple3,Gold Couch,Void,Confetti,,15,Bike,,7,Blue4,Orange Crystal,Infinity Sign
7-18,19,3116,0,https://solanart.io/search/?token=FaB8ZV2uctRAMnrVRpX2fSYtCSmoVQ6o5UDwx54DZZEE,Purple3,Futuristic Cornered Desk,Gmoot Tile,,,18,Garage Supplies,Cactus Terrarium,7,Blue2,Silver Bricks,Ice Clock
7-6,13,8165,0,https://alpha.art/t/Cf1ASMH6sWYGMqyuy6Sc2mebfQFHtvfkJVdpRttfiSF7,Black,Marble Kitchen,White Slate,,,6,Toaster,,7,Yellow,Green Crystal,Infinity Sign
