id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
78,3,1643,68.98,https://magiceden.io/item-details/Ea2NyoKh5e82Z4iErDg6GpbYPkk8XunEJkXSB3Z4CXt8,Yellow,,Spectacles,Headband White,Closed,Hoodie Light,Natural
148,1,6239,65.14,https://magiceden.io/item-details/A5S3PgD7kVMTHqFEVZeDrzXGif8CAr8fCfS4yKysvFa6,Mint,,Standard,Cap Blue,Drool,Shirt School,Natural
162,1.5,7413,54.05,https://magiceden.io/item-details/26icTbSzCkPbYhJAei7eKmza5t6rxWdBrsuvzyJPAd2V,Pink,,Standard,None,Stache,Scarf Red,Natural
202,1.5,1789,83.22,https://magiceden.io/item-details/5KfyPBFJAV83kFD9gQ9Yp2N5FeLHzHpSUBbKjdEydv1e,Sky,,Thug,Headset,Smirk,Sweater Green,Natural
207,4.55,7475,23.22,https://magiceden.io/item-details/BfnQ3fvh6mvwtxPBSEWaxDLseCzPFZMoSLxq8GfBss5X,Green,,Shades,None,Blep,Shirt Red,Natural
209,0.95,6409,64.75,https://magiceden.io/item-details/2v43KV22CXAGFY3Yv2R4ALeyDhzfnocmC4t98j1569CF,Alabaster,,Wink,Bucket Hat Ivory,Fangs,Shirt Blue,Natural
226,1.777,453,87.38,https://magiceden.io/item-details/3yJL9ZkMAceD8HfkLpewm874PV7NFrn61qHjHreGRGFf,Champagne,,Shades,Captain,Grin,Hoodie Blue,Natural
320,1,4842,72.38,https://magiceden.io/item-details/Dzob1rsc1H52PTAVMkk5GbwcJiN5Jpx4qsqV4UDwkedh,Champagne,,Eye Patch,Headband White,Smirk,Sweater Red,Natural
324,5.25,176,54.09,https://magiceden.io/item-details/63BRqmaZaSm3X1Cebq7iHqtHxNkiuSgHeyxBDBxw7HrR,Champagne,,Blank,Astronaut,Stache,Turtleneck Orange,Natural
330,3,509,74.86,https://magiceden.io/item-details/9xdahKheCtxf86HyapEjFQkaB7bQykSpe8yKxs2nd7H3,Purple,,Spectacles,Headset,Fangs,Shirt School,Natural
341,10,92,7.02,https://magiceden.io/item-details/8hgbzZ2RdFvURBnna2xng6pWpuJ62T7V84CTu8pikeuA,Alabaster,,Solana,Monster Trainer,Smile,Sweater Light,Natural
378,0.92,4442,75.26,https://magiceden.io/item-details/FKeJvh5W8YJwEhh4SVifdvrxyBZWAUDhm3foRaXT1xWc,Emerald,,Shades,Bowler Light,Fangs,Tank Top Pink,Natural
428,2.8,6463,45.97,https://magiceden.io/item-details/DeeX3aA7kgUXqoc6c56LVBXhTrtmJfscqaebLXCR3QkK,Alabaster,,Jaded,Bucket Hat Blue,Smug,Turtleneck Blue,Natural
484,1.07,808,92.61,https://magiceden.io/item-details/4SA9M1tDUq4SR1TjNH9cYyMnYkLZECf2xJAYrA7PgPru,Emerald,,Raised,COPE,Smile,Shirt Pineapple,Natural
487,0.82,3624,80.5,https://magiceden.io/item-details/AVciExDdu3vnKKZ76ttdpVVj4Mws8PmpA9sYfpyKwbRv,Persimmon,,Shades,Backwards Cap Dark,Grin,T-Shirt White,Natural
493,0.9,7052,61.92,https://magiceden.io/item-details/JC9e315YCbb6CN8UgAH3HshfZhdPJGEwiSXpsW7RzZKq,Rose,,Standard,Cap Pink,Grin,Shirt Green,Natural
519,1.5,1596,84.22,https://magiceden.io/item-details/M3TfqPeqn1SYD5XgHx44gR8C3Sgmvci8mz6p9G47eGL,Yellow,,Jaded,Pirate,Smile,Tank Top Pink,Natural
577,25,1675,0,https://magiceden.io/item-details/8Mwcs48rinNYUYZxPSs2sfbJ4NXxV1uX2yc2W2gaPuyd,Rose,,Jaded,Sportsband,Smug,Monster Trainer,Natural
