id,price,moonRank,💎 score (%),storeURL,Accessories,Background Color,Background Design,Body Color,Eyes
1,25,1067,0,https://exchange.art/single/3w1DnMJpweLnBdwuvSK3LkgJf5kSqDvNVWDPhjbJY93Z,Bun Lyht,Red,1,Green,Sinister Purple Eyes
4,10,1084,4.96,https://solanart.io/search/?token=G2M19boWH8wuFWiv8RJdKGhGxu8qYfWyC2vgQwWG4Aed,Bun Lyht,Pink,None,Orange,Sinister Green Eyes
17,17,916,0,https://magiceden.io/item-details/BdPg4BcHt3V9YMZMwqaHWQpxxB33STU3Vo1qQ3ccU3q5,Mushies,Pink,None,Green,Sinister Green Eyes
18,30,517,0,https://alpha.art/t/6714KepKA8yB25CQ4Q6ptqbktjci3YcV5xsVUBwSL5A9,Bun Lyht,White,2,Red,Sinister Purple Eyes
32,7,425,58.82,https://magiceden.io/item-details/2zfiHAKMqkUxaSk3RHyxbT7mNYQwnd8dYAnX2SLBzoZ2,Tattoo,Pink,2,Green,Sinister Purple Eyes
34,10.5,1080,0.1,https://alpha.art/t/ieMqnNeKW7osSGGJzoVgBXkY3CuoGN9yzTF2Z6vbXio,Bun Lyht,Blue,None,Green,Sinister Green Eyes
35,15,26,0,https://magiceden.io/item-details/CzW8LziPhTtA96rXSZVr352s37dbUPZ8oacreqTVGyyr,CD,Pink,None,Green,Cute Green Eyes
43,18,38,0,https://magiceden.io/item-details/9YrYCeogcFRNfKyLdUHwsvSnJnc4Y5yoHjfwUh7Wogd4,King Crown,Green,None,Blue,Trippy Eyes Green
89,7,318,62.69,https://solanart.io/search/?token=GnzYDYWnfr98crMVboymNbGci6b7RB6fki6oFyBFrnCZ,King Crown,Green,None,Blue,Stoned Eyes Blue
101,55,45,0,https://solanart.io/search/?token=74hbkuHWwcyeSXAqGHSgAnwq17FAoQ9Gfqb3vrTHgrWW,J,White,3,Red,Stoned Eyes Green
103,70,208,0,https://alpha.art/t/4aGxKNJ4RraPcQawD6Rvnjr4hNwwGdpsZQDXhMo2Qmuj,J,Red,None,Red,Trippy Eyes Green
105,7,952,39.74,https://alpha.art/t/2vsEKaTHdMxzUtDgesuW4CVFjXQs6nCRg7F8DinMdzPH,J,Pink,None,Red,Stoned Eyes Blue
106,225,8,0,https://alpha.art/t/HcGSx1inAHjvpq9UfXkA72gtuHBPSqms4st2NrEUj33r,Mushies,White,None,Blue,Trippy Eyes Blue
114,30,62,0,https://alpha.art/t/AsJPwcVTJn2v4FnjF2ZQ3hoinkREg5jPYWhNpK6TCtZR,Mushies,Red,3,Green,Stoned Eyes Blue
123,9.75,1000,10.5,https://solanart.io/search/?token=5zydHRcD4WUeLD8WAaqHUptCpeCuTRgdCwNEP3iH7dCD,Bun Lyht,Blue,1,Green,Sinister Green Eyes
140,29.99,315,0,https://solanart.io/search/?token=Ae2zUd1uZPQTaLbWEvPoAZc2QUsb37hH8ggKpLvf21qo,Bun Lyht,Red,None,Green,Trippy Eyes Green
142,8,782,35.89,https://alpha.art/t/GTJA9BjsxbCQH9zsVKH4in9FyJQVKPVGBr8RqYgLEbdD,J,Red,None,Purple,Sinister Purple Eyes
143,6.969,573,53.77,https://alpha.art/t/HtP9fdLLTGwMLF5KiJv57vtccfkfR7VzXYERuEcFPakA,Bun Lyht,Blue,None,Blue,Stoned Eyes Red
160,10,496,26.25,https://alpha.art/t/CRxPPLQdrPduM7RxFiHXRRscZ1ApNjxFuRSFUvXjAwc8,J,Pink,None,Blue,Cute Blue Eyes
180,13,268,4.5,https://magiceden.io/item-details/DKjGiXa6RNSH4skmuuFNawC7D9zSUYgTd2zZpyY9zUgM,Mushies,Pink,1,Orange,Stoned Eyes Green
186,5.2,885,60.16,https://solanart.io/search/?token=4VT6ojdvoErZZkZM9dhn9qNzf6AuriedGYXRXdjiR1Mk,King Crown,Red,1,Green,Sinister Green Eyes
203,12.5,629,0,https://magiceden.io/item-details/Hfm8LrWCCqq7s6VNS3BBk4vtVrVCfAdemjTkPeNbypE4,Bun Lyht,Blue,1,Blue,Sinister Red Eyes
206,10,172,37.97,https://magiceden.io/item-details/4Z7FvkJehA6U4j7Y4y4QnqApVQPtPkFyVLD31Pj8tQxG,King Crown,Pink,3,Red,Sinister Red Eyes
211,15.69,353,0,https://solanart.io/search/?token=7TLL9Qp3KfF2u2XFhZcvWYHfReeHkvUtgmBPh6Kgg86T,Bun Lyht,Blue,2,Green,Cute Red Eyes
217,7,288,63.77,https://magiceden.io/item-details/DDFEcDgtx2ZmDMVyhNjm6MFxjx1d5EE9JVokamSkMxkC,J,Red,1,Purple,Stoned Eyes Purple
219,5.5,558,69,https://magiceden.io/item-details/HZ8DTNw6EfE6ZwAQ1EyRVCrDgkV65tdD35yTkvzpvjnG,Earring,Pink,None,Green,Cute Blue Eyes
231,7,127,69.6,https://magiceden.io/item-details/8iDaAdrhrGw7yQgojibv5SXKPbfogQhWos21ehK8ig1D,J,Green,1,Purple,Cute Red Eyes
237,9.69,935,13.45,https://magiceden.io/item-details/J5xp7ZbQpUHbDMrJAgYygbjYTDNrW9Y94AHEXhSmFxA1,Bun Lyht,Green,None,Orange,Sinister Green Eyes
242,10,146,38.91,https://magiceden.io/item-details/Ay8yriziEAZMfeQx3swUH54iG4PSrcTDCNuVbfNd9NGe,Tattoo,Red,2,Red,Stoned Eyes Blue
250,6.25,592,60.27,https://magiceden.io/item-details/5wvujPo1H5xgLTYtg2EevHizWyAXc2Gk5U66saQ9mwWt,Earring,Red,None,Green,Stoned Eyes Green
251,6.5,134,74.35,https://magiceden.io/item-details/7mQBTdMjpoD2yMLReBiMe3NEfTqASeDgwymDKGjtBfKh,King Crown,Red,2,Blue,Stoned Eyes Green
255,15,731,0,https://solanart.io/search/?token=HAZch9WYXFSA9Zd1toazPYXzjc9bc5ao9Sj6iuM77Dde,Bun Lyht,Pink,1,Purple,Sinister Green Eyes
261,25,888,0,https://solanart.io/search/?token=4j3FHfv7kGCUkCQkwwDrzfwNeVHCB915vqg9y4joExaY,J,Red,1,Orange,Sinister Green Eyes
263,42.69,95,0,https://alpha.art/t/Du7EMz1RimyaQmJtKxX7k3vjCNTVLUiBWHawjvFnjmbK,Bun Lyht,Pink,3,Blue,Stoned Eyes Red
269,75,30,0,https://solanart.io/search/?token=3yxLkQcqtmRigoHLnLgkrpmYcGTb7jR7FzFE6x4rj1Gt,Tattoo,White,2,Blue,Stoned Eyes Blue
280,30,260,0,https://solanart.io/search/?token=7vMRkaWVgfUQTGmbBiTi5ExoC2ZAcnyZB4eN3mwqkYXs,Tattoo,Green,None,Blue,Sinister Green Eyes
283,50,276,0,https://exchange.art/single/EYGjp1bQpFuh48HrqnJqDdhPWpFXoCGeDBLtAEovuYFs,Bun Lyht,Pink,3,Green,Stoned Eyes Blue
285,26,386,0,https://solanart.io/search/?token=6ZF6afn57f9cmi9WS7XjfDir8pTQurBU6S7Ms6eP4AqL,Earring,Pink,1,Orange,Stoned Eyes Red
287,5.8,505,67.92,https://alpha.art/t/3CHjn4ofPBHEegmVQ2JsNawJ7m6orH7dT8yPBNnTzmwm,King Crown,Blue,None,Red,Stoned Eyes Green
298,13.99,215,0,https://magiceden.io/item-details/D4JGk3RJQz4y3cnDj9vyEbbiyD7hceGr3k8WTU911kn3,Trippy Top Hat,Pink,1,Blue,Sinister Purple Eyes
299,12.5,171,13.01,https://magiceden.io/item-details/3RhgWNYzDCWz5oRApPiRAs82CL4BTwD9KeXtR1JNC5tb,Bun Lyht,White,2,Purple,Sinister Red Eyes
304,20,126,0,https://solanart.io/search/?token=9Dm46ZYbAhGAkbFod9u4nK86bAYrSTw28nxB9eBqhagF,Tattoo,Blue,None,Purple,Stoned Eyes Blue
319,8,476,46.97,https://magiceden.io/item-details/FeUrEhmC9SuYngewFKETjNj14UdSwQWQAh8HdT2GYYqw,Earring,Pink,2,Red,Sinister Green Eyes
342,30,5,0,https://alpha.art/t/7Kes2Whej2srxm78v1vnQdm2WZT8v7RHPnm2U7UzhQhV,Earring,Pink,2,Purple,Trippy Eyes Blue
346,5.45,581,68.67,https://solanart.io/search/?token=47YamRhaSZ9AYWgueLJJMBHz4issgXjaFLMLv1qLFX2U,King Crown,Red,None,Orange,Stoned Eyes Purple
349,30,249,0,https://magiceden.io/item-details/2kwzUNtE8cTonDtGsNfnxtfRfTYqSiCGPXVdSoYREVSH,Trippy Top Hat,Pink,None,Red,Stoned Eyes Purple
358,4.9,877,63.45,https://solanart.io/search/?token=Hst4LqnHvnpqMWyJEr7xjNiAgEHnk1g78EdhuQ1j96SD,Earring,Blue,None,Green,Sinister Purple Eyes
367,17,698,0,https://solanart.io/search/?token=6LQ226ZwauT32EvfRSbQkrSfZShkN6t7exoN1czwVGEn,J,Green,None,Red,Stoned Eyes Blue
370,42.689999,775,0,https://solanart.io/search/?token=EThws588byDruRwtU3zsSQKX3u8bqAUNa6h8o44QYZNf,J,Red,None,Green,Cute Blue Eyes
371,10,574,23.42,https://solanart.io/search/?token=3P9n4dbUDLWy4iujffk31NDUPE3j84tNQsJMawciBsST,Earring,Green,None,Red,Sinister Red Eyes
383,7.77,1102,26.61,https://magiceden.io/item-details/2R42imRuj4Yz5nixWNzNKP35YaE6CDSNiJ56PS1SMkSG,Bun Lyht,Pink,None,Red,Sinister Purple Eyes
