id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Glasses,Hair,Head,Neck,Skin,Smoke,Type,Wing
Advay Frazier,5.88,1362,83.63,https://magiceden.io/item-details/BbideGdXnYXaCrZFc7jyvAq4Gr1GjCA7abosKnSueeHq,80's Retro Sunset,Forest Green,,,Gentlemen's Hairstyle,,,Base,I Want My Cigar,Base,
Dillon Rush,5.99,2127,73.34,https://magiceden.io/item-details/F1GkTgqxcEreRWSNUxARgaDBnE1CKekLN8JVLaXVC55Y,Grey,,,,Bob Ross Hairstyle,,Retro Pendant,Without Shell,,Base,
Helen Payton,6,2453,69.33,https://magiceden.io/item-details/EH8KzDM7XhAAJukKU7rhefvup5mXQX2TPrPR5QQuasGu,Pink,,,,,Snapback,,Woman,,Base,
Anirudh Gilley,6,2147,73,https://magiceden.io/item-details/8g19QMRDkusqxwGhbJY4ebVBAX6YgMX82TwcNm6PxqYY,Burgundy Desire,,,,Gentlemen's Hairstyle,,Yee Haw,Light Skin,,Base,
Wilbur Cadena,6.28,3089,58.88,https://magiceden.io/item-details/94PYCAWuNniC55ZcRpq2Gq8t6V5XKKby78fxYPk338Uu,Grey,,,,,,Retro Pendant,Dark Skin,,Base,
Willem Bates,6.29,1260,80.76,https://magiceden.io/item-details/HfWBk8H1nE45jKbH4jNx3xZWqGf9n7uCcjrV3wFriUmU,Burgundy Desire,Teenager,,Nerd One's Glasses,,,Overpriced Silver Pendant,Base,Cigarette,Base,
Stanton Delatorre,6.35,2868,60.84,https://magiceden.io/item-details/ESqHnTNP8174XCoq195sZVLzE1m56e4524GzP3QHcTNj,Purple Frenzy,,,,,,Silver Pendant,Base,Vape,Base,
Rhys Kohn,6.47,1557,75.39,https://magiceden.io/item-details/CfMPRPmo2bGo9ikg4JLW8no76hqUeVqbrKjWNKQuaaKX,Grey,Thug,,Sunnies On,,Red Ghetto Bandana,Retro Pendant,Base,,Base,
Ronny Stoltzfus,6.48,3267,54.74,https://magiceden.io/item-details/EHDi2BvevfwzqpBRY2i8bf9F1ZT1RBmtngPq4P4LVzXj,Purple Frenzy,Sailor Red,,,,,,Base,,Base,
Skylar Klinger,6.49,2795,60.32,https://magiceden.io/item-details/AzWt1i7jyWEGWDRW35hhL3H3GWoT8z2tYDFxqZdKBoDq,80's Retro Sunset,Forest Green,,,,,Yee Haw,Base,,Base,
Mohamed Koehn,6.5,1452,76.35,https://magiceden.io/item-details/CMe7Ua6rwE4p6Ku9CqRMP1UeS1Bham8JVWdaRU8WUQo7,Purple Frenzy,White Collar Shirt,,,,White Ghetto Bandana,Retro Pendant,Base,Vape,Base,
