id,price,moonRank,💎 score (%),storeURL,Backgrounds,Body,Eyes,Head,Mouth,Neck
2,20,896,0,https://alpha.art/t/7Ki2phV9peHPCqjQLZgfxqbxJ41RYLjJWLcNG3h6gtPp,Peach,Blue,None,Earring,None,Purple_Balaclava
8,1.25,2092,51.17,https://alpha.art/t/EyQmU4erP1y2o6U6JtYe28KnguN9pgkvjtyqXzpiKhEc,Peach,Blue,None,None,Vape,None
16,0.16,1613,70.73,https://magiceden.io/item-details/cdNxtAEdYSWBqTgv9UxwTzmt7pvvEDh9VPaWG98yhWi,Purple,Tan,Blue_Sunnies,None,Cigarette,None
20,5,755,37.85,https://alpha.art/t/8nd5Hv86SV3zHQdYTwwxWRrHQU1qWVUW5Y4KFAqcMbQa,White,Brown,Specs,Cap,None,None
24,0.42,187,93.92,https://alpha.art/t/3XAHEhTUAZ1rvskv5WerYdXVR2WA4K3kmrg93Qp9VFmz,Purple,Grey,Specs,Cap,None,Blue_Balaclava
26,0.6,1143,74.83,https://magiceden.io/item-details/HuJb4eYGTFKcBtz8PQcahdyGfFe2u72K6kCaJ6vxY4qm,White,Grey,ThreeD_Glasses,Blue_Beanie,None,None
27,0.5,329,90.55,https://magiceden.io/item-details/FBMq7woP2VrZb936wWVxvUuQjjgN45vhsN581LMuxzst,Green,Zombie,None,Cap,None,Blue_Balaclava
39,0.6,1940,60.42,https://magiceden.io/item-details/9tpY3D9yvtdcN1ASgFVqT5AGTd9RgJEPLnT16YQNmQ68,White,Tan,None,None,Vape,None
45,10,1737,0,https://alpha.art/t/4jNjuUxESsxp9UJhXs7qoFjQSECVhfke9KZdM9BrQJgv,Yellow,Tan,None,None,None,Green_Balaclava
57,23,144,0,https://alpha.art/t/3SVnfpSKhy8pjmnDmqFPRYzBXGYwFkUBcEksdLrPffgr,Peach,Alien,None,Purple_Beanie,None,Green_Balaclava
68,1,1674,61.23,https://alpha.art/t/5hobZmMeuUsMgFEBzzdbJxhJyHDESA9VnG5jum9W7c6F,Yellow,Blue,Blue_Sunnies,None,Vape,None
72,6,2212,1.5,https://alpha.art/t/DjbYPdKdqcgSmL8PGeGLHqn8F4YsuEyrABHbtBqf1pTp,Peach,Brown,None,None,None,None
82,0.41,1054,78.34,https://alpha.art/t/B74WNj5eM3hMSgGbLfJ94xkLRjTWxTaECTXAo8hgx6U9,Purple,Brown,Orange_Sunnies,Straw_Hat,None,None
83,0.4,808,82.89,https://alpha.art/t/5XbJ6EzDX8Ki5frHWEGEsya1jNFCs1m5BeN575GoRppT,Pink,Blue,None,Blue_Beanie,None,Blue_Balaclava
100,1.5,1288,63.21,https://alpha.art/t/EkAYb2agJTXZBWipWeL3XZzckbCTWmdRryXUJesRtdr1,Peach,Grey,Blue_Sunnies,Pink_Rag,None,None
115,0.5,2208,56.57,https://magiceden.io/item-details/9PSc5tbbZbKMtXpsMntcGpjzxQrdjnUjf9zDzi4hV3FK,Yellow,Brown,None,None,None,None
135,0.69,1811,61.85,https://alpha.art/t/7b63vSSu7SmvBvupMnG6tXfuLjk3YTgwPt6dsznpmg7S,Pink,Pheonix,Blue_Sunnies,None,None,None
140,19,237,0,https://alpha.art/t/Bus2gzh7D1y4oVWdqZjbMm5KiJrUs6Trqku9tiCXr3JK,Pink,Blue,None,Orange_Rag,Cigarette,Blue_Balaclava
150,8,2150,0,https://alpha.art/t/HqbCwh1CL6Vo4o6mrEPgVFAyfAp4eYgtMPnZZdpnnkob,Blue,Pheonix,None,None,None,None
152,1,284,86.36,https://magiceden.io/item-details/9gxbtGgUqMsMidxEhAS9JYBiprYzkyXhkwD9Zugax18r,White,Brown,Blue_Sunnies,Purple_Beanie,None,Green_Balaclava
158,1,1242,69.04,https://magiceden.io/item-details/CLazvNtyjXub4AnW3i4Lyujmp4eYhQGxidpGWsvRAEte,Purple,Tan,Orange_Sunnies,None,Pipe,None
161,5,353,45.12,https://alpha.art/t/6vGo1WmwUGi2y2FYWnemKdqRbivHNHm8b1hDK4mLTo21,Purple,Blue,Blue_Sunnies,Orange_Rag,None,Orange_Balaclava
169,0.25,438,91.08,https://magiceden.io/item-details/J9Y2f9M9s5zxfLWBTCZCA31hptxVCLk4eA6ZM6ZCn8oB,White,Pheonix,ThreeD_Glasses,Pink_Rag,None,None
174,6.9,1976,0,https://magiceden.io/item-details/2v997WJJ8KfXYeoqZQ8eqre55DG2A1o92VVoy3AHzpBh,Blue,Tan,None,Blue_Beanie,None,None
179,6.5,1297,13.05,https://alpha.art/t/vigeR9xNzVn2LjDJb3ZTuQ6AdL8fJ9QTUzrZiPS9sDy,Purple,Blue,Laser_Eyes,None,Vape,None
188,0.9,1020,74.06,https://magiceden.io/item-details/6VAk5JeZfTwrzqvmXq3cQfGkZn3nX3n9GpkDY43S85uv,Peach,Grey,Tron,None,Cigarette,None
195,10,22,1.1,https://alpha.art/t/A1mimz4h4MeKWVzRZCJycaJaQU4RpdhhY1nGZvXsanhN,Pink,Brown,None,Straw_Hat,Pipe,Gold_Necklace
210,1.05,1983,55.14,https://alpha.art/t/3P48sAKQQRx5y4JEvurwU1ijCTEY3DraS6W5aVsFR3Co,Blue,Grey,None,Blue_Beanie,None,None
219,1.35,1728,56.75,https://magiceden.io/item-details/4sZAy4hqkuACiBNzY6HACCupsAVRjgbGSnQnUiT37ChT,Peach,Blue,None,Purple_Rag,None,None
220,1.3,1800,55.95,https://magiceden.io/item-details/8vvv6vP11MC8z793b5SgqwdoV3815yC8j96f5EoxPJjN,Yellow,Blue,None,None,None,Orange_Balaclava
221,6,1347,17.14,https://magiceden.io/item-details/Ag6rTai5SsWZ5vkz7rZTEsSQ4VcTdkE3xKeAMEEbUjEU,Yellow,Brown,None,Halo,None,None
222,1.65,1876,51.08,https://magiceden.io/item-details/Bmpm8V5NP6HShtgEVtgAf41bAWfmcBG1qe8NzakYPK4h,Green,Pheonix,Blue_Sunnies,None,None,None
223,1.75,1715,52.99,https://magiceden.io/item-details/AC49xwMk1UivaHoaz1MjJZ38gyoD1y5B8EoLDMWF5Rmv,Yellow,Pheonix,ThreeD_Glasses,None,None,None
224,2.3,112,76.47,https://magiceden.io/item-details/9RQ9Zqdj6fFzWYBoDZQeHhHLyTvPttTM4p4H2JXtrXV9,Purple,Zombie,Blue_Sunnies,Orange_Rag,None,Blue_Balaclava
226,4,2207,21.59,https://magiceden.io/item-details/6mca97u24iSeFsabuZTvqivvafCBtFw218ncrz2StP7M,Purple,Blue,None,None,None,None
227,4,2204,21.64,https://magiceden.io/item-details/BPassNVK7rtMDhz1LsxeP5YEKewvtoyz1JJWLt4kRFna,Purple,Brown,None,None,None,None
238,0.18,940,82.7,https://magiceden.io/item-details/RnXGnaCx2SGArRoNYTDs2kmvMT8FXuqLbLQEta6ck6o,Pink,Tan,None,Fedora,None,Orange_Balaclava
240,0.45,1635,67.43,https://alpha.art/t/9Yx52oYiw2GFJTDBELi5bc4REkKAVnh4ifhL2sX8FahW,Pink,Brown,Blue_Sunnies,Fedora,None,None
242,0.43,2106,59.12,https://alpha.art/t/F91Rs2ruTTgNPRBa5AcbriHvNKoUvi8tDqdD4yjMTK8V,Blue,Grey,None,Fedora,None,None
246,0.2,837,84.36,https://magiceden.io/item-details/4VUb6TZzDKGUyL4EZwcFe3rAQTR1ssAin1S7h4GbVqBq,White,Brown,None,Fedora,None,Blue_Balaclava
257,0.857,310,87.32,https://magiceden.io/item-details/icTRyKEJXPQiihDkkpYiTJ1xzjCjMeuHV4KNDckZzry,Pink,Tan,Orange_Sunnies,Orange_Rag,None,Purple_Balaclava
264,3.3,838,53.35,https://alpha.art/t/AQq7KT2fy6GB9WnaPKkYqebsPzTAh7pF2X6FnYo6hw8y,Purple,Blue,Laser_Eyes,None,None,Purple_Balaclava
276,0.6,861,79.93,https://magiceden.io/item-details/F8DhYTxp2b3W5Q4CbEiLuCqjaNX5YjfUjUWD94GrR6os,Green,Grey,None,Antlers,Cigarette,None
280,2,1500,54.38,https://magiceden.io/item-details/552akKAtMJZqcHcwqVzWM7y351vZ4DVxgDa1jHstMX9j,Green,Grey,ThreeD_Glasses,Earring,None,None
289,0.18,435,91.83,https://magiceden.io/item-details/DvX8wfsbTN24PA3hGvYJ5znNYCr3MmKYffUwLtyjvCts,Green,Blue,Blue_Sunnies,Pink_Beanie,Pipe,None
297,1.49,142,84.03,https://alpha.art/t/Ah4KGkSKaEDyKBV7pfFpT2fDB16K7n4Jcb2CfKQdzP24,Blue,Blue,ThreeD_Glasses,Fedora,Vape,Orange_Balaclava
311,1,9,91.34,https://magiceden.io/item-details/B8B7gBDk3XYJetPqk9nGi84tnVWTdRgjunXCjmkgn6S9,Green,Blue,Orange_Sunnies,Straw_Hat,Cigarette,Diamond_Necklace
323,1,524,82.02,https://magiceden.io/item-details/FaU4CGLGvUdLJNNxPNToF5mLwBtpkPsBypjz9kz9nNd2,Pink,Alien,Orange_Sunnies,None,Vape,None
329,10,2197,0,https://alpha.art/t/9JkgARSqETHGiyYANA5qSsvD9Vb9oMbwcKHYDcqNXAw7,White,Grey,None,None,None,None
339,1337,1539,0,https://magiceden.io/item-details/8H7d2gqxYnxm2s1G3Wa4nz6hVH316HSrYoenEckYitgq,Yellow,Brown,ThreeD_Glasses,Fedora,None,None
348,0.28,365,92.1,https://magiceden.io/item-details/7LpN13oc3Tx2dxbsRJxGjyrxQ9pfu1Sov5mWCegC7WXF,Peach,Zombie,None,Blue_Beanie,None,Blue_Balaclava
351,1,1950,56.24,https://magiceden.io/item-details/BYoPRkqKmx19yfpcCzrmPYDCABG6VbouzGUnKqgV4PUc,Blue,Brown,None,Purple_Beanie,None,None
353,1,719,78.5,https://magiceden.io/item-details/CDm6XGknKzPFSWUr26KYAAbPmqZcbNdgSDDdtx8Ybvdc,Blue,Blue,Blue_Sunnies,Blue_Beanie,Cigarette,None
359,1.89,1699,51.88,https://alpha.art/t/3ZLsaNS4bdeNWYizjt346VFrWy9CwtfQLHd9WycoRHNe,Peach,Blue,Blue_Sunnies,None,Vape,None
361,0.58,293,90.4,https://magiceden.io/item-details/5YSx11ryfmjU2N3xH25G3x6GEJrC5fUXpfrPgNrhnW6j,Blue,Pheonix,Orange_Sunnies,Purple_Beanie,Cigarette,None
368,10,2210,0,https://alpha.art/t/DZZEVJvtGNvT4gw685hxLFU9C3DTqPouobYUcmssdqHS,Peach,Tan,None,None,None,None
371,10,541,0,https://alpha.art/t/92nhByo5LdjTx57zgQefDKzY2a6pwFVE6jduQbddoDsp,Pink,Zombie,Laser_Eyes,Earring,None,None
373,15,11,0,https://alpha.art/t/3tJpVw5gtj1ugpPC8gzRBkVLhQtyJV5Ex5h4JSE3Jcjs,Green,Alien,Laser_Eyes,Straw_Hat,Pipe,None
374,5,1775,19.4,https://alpha.art/t/3YADg6FUEtmKYkY8oBfRQ5NDpqoMUVoc8EbLBBoZ6Edo,Purple,Blue,None,None,None,Orange_Balaclava
