id,price,moonRank,💎 score (%),storeURL,accessory,astronaut,fuel,planet,rocket,sky
59,0.12,3235,60.09,https://magiceden.io/item-details/H4G9jLty9mSruYcQnVtyKQJi1qqrGPvBaHrrL5hg2bCT,empty,ET,surge,dune,prototype,milkyway
98,0.05,2776,66.3,https://magiceden.io/item-details/4fznN7KuN9oKwMieyYSUHwdeJZcvWgwcLvRx91N1BokW,empty,gemini,surge,inception,buran,cloudscape
100,0.05,2454,70.17,https://magiceden.io/item-details/4NRC84e4fThd44t1syQQ5d3SS6DEgUQd4bF1NnLHYQTF,booster,gemini,cloud,highlands,artifact,moonshine
141,0.04,1980,75.97,https://magiceden.io/item-details/CumxDWHMSAd2E31hWZYBqcoNbSaFHwshnbVeJagpTUr6,roseglow,ET,bloom,fuji,jackson,vice
144,0.19,1519,80,https://magiceden.io/item-details/DbmUCrGdMx1VvvkdVzMLEVVMJZxwoYSoQdFYZbcjWWjY,empty,pengu,cloud,fuji,foxy,sunset
148,0.3,2903,62.28,https://magiceden.io/item-details/6TmWUFnLhoRYYXYTuf3LsGvreTsWG3M3FP8ZjQecE6Rn,empty,gemini,bloom,fujeeee,buran,sunset
151,0.2,1374,81.65,https://magiceden.io/item-details/A6BoKL6yh7qZdXsHUNQQTQCgCiQKRtFfE2RjfwxDAUzM,empty,pengu,tron,dune,shuttle,vice
203,0.03,1550,81.23,https://magiceden.io/item-details/5sdBndvK6iuwfAUtweYJsy4QnMYofsT4RnYBN6FYE3rx,booster,venus,surge,atlantis,jackson,cloudscape
204,0.03,3005,63.75,https://magiceden.io/item-details/P5f7XYgyyb4R1CaQVGGfFpAsSLeTHeoJugBy7EG73W6,empty,mars,cloud,egypt,pollock,milkyway
205,0.03,2506,69.75,https://magiceden.io/item-details/23Qk5c5LZkE7G8a11qCVeecJTVrFdBc3DGZnRdodbxmY,empty,apollo,richmix,egypt,red,cloudscape
229,0.12,3304,59.26,https://magiceden.io/item-details/2GTtfZz2yZRzvuHiptGyNkybgHzoZzx9YmR7nKXnV5Gw,empty,gemini,bloom,inception,artifact,milkyway
269,0.12,366,94.55,https://magiceden.io/item-details/BfAef9pTTSbNGDCGJo7jsN8F2J5U4WSV7KJMiWv2qJhS,birds,venus,cloud,highlands,red,firenight
270,0.12,1133,85.34,https://magiceden.io/item-details/ECciStvb7UGJv7qKu9JZrRxFrgxoCCiKZqPA7XkoRsGv,roseglow,mars,surge,dune,black,moonrise
287,0.06,1188,85.28,https://magiceden.io/item-details/3CqJX1UyW63fFHNDLV3nkmvKV1eE2s2jPFDiED6PC2mX,wing,mars,tron,inception,blue,milkyway
289,0.07,2143,73.71,https://magiceden.io/item-details/Ed9qaPCKy23SEWDvsWZPCvEsJvQFCzRiXmVCc863DAfT,aura,mars,cloud,highlands,jackson,sunset
307,0.4201,1907,73.04,https://magiceden.io/item-details/HPF2D1bcHNyPCVyubuNwe4wFLvMYUnw3YemRGeWW3St,rooster,gemini,cloud,fuji,shuttle,milkyway
311,0.1,658,91.25,https://magiceden.io/item-details/GMPffHfcanmEVq6Kt14GaZWkkHzj3VboBHgEVRpW3bT1,roseglow,mercury,tron,egypt,hera,sunset
313,0.35,2929,61.47,https://magiceden.io/item-details/EqiRwDxNDss5ctvgrMwVz3zo8mtBwDpz3dD8o7pu1KY3,empty,mercury,richmix,egypt,artifact,cloudscape
321,0.2,746,89.19,https://magiceden.io/item-details/6GVANPpw1Dtb9Q5PV6fpxYJLm5rBfEEbJBsauVX19QDw,empty,pengu,jet,atlantis,black,moonrise
326,0.25,1236,82.8,https://magiceden.io/item-details/GMUthuEWbMmxVGZr1uyp2rMtCyRC64CekqsA67bzVSHb,wing,venus,bloom,highlands,buran,firenight
327,0.1,1113,85.78,https://magiceden.io/item-details/EpiY1dRKYjCGBdsyyCmNP4uZxAWDLBxTo5QCgFZoG2cy,aura,gemini,surge,highlands,blue,cloudscape
337,0.29,1436,80,https://magiceden.io/item-details/D2FR1eMGi8xY7Cst2EvZjuz71QvxyNjKxTSsAULM5de4,rooster,gemini,tron,fujeeee,jackson,firenight
338,0.29,1540,78.75,https://magiceden.io/item-details/7Tb38DwMzWvZ2FdRrUuRrfzzHdrNLrkiFwFyHBBQs1Xn,booster,mars,surge,dune,red,milkyway
346,0.1,2661,67.19,https://magiceden.io/item-details/3apL6yHTihFyXnNXrkc6dMFYH6GDKXJ8BHwLzVJWdSwG,empty,gemini,jet,dune,blue,saturn
380,0.069,2151,73.62,https://magiceden.io/item-details/9mfnLVqFNSWLPYLiar3qoKzja7NUEQyG6KhysMtkrCv8,roseglow,apollo,cloud,dune,shuttle,firenight
384,0.2,1266,82.94,https://magiceden.io/item-details/2HFLZDYMx3thL5Qo7iyk6FtZuzAQrXAMcV9f5bERP8Xc,empty,kutourufu,jet,highlands,artifact,moonshine
468,0.34,2412,67.78,https://magiceden.io/item-details/G5d3TG2cwndZRXHmtK79FKqzAGsHTw16keDXpyvZRWWi,roseglow,venus,tron,dune,jackson,moonshine
474,0.42,3200,57.51,https://magiceden.io/item-details/J3hsqVkHEKACHy1HUE9axyzZbSrsaxBZencMEZZAPQoa,empty,ET,richmix,inception,prototype,milkyway
514,0.1,1288,83.68,https://magiceden.io/item-details/G5YvsoArB99V6oLVZVdwkcbuCmggcfYmt9AzCRzWdswC,booster,ET,jet,atlantis,artifact,moonshine
521,0.12,928,87.8,https://magiceden.io/item-details/7a4cZMpbWHrP4uFBjDfEUEvKQdGi6RDGnwkTCidDfmSm,wing,mars,surge,dune,buran,firenight
524,0.12,2379,70.37,https://magiceden.io/item-details/44A3oj3hEwHquSRUrQ9eLYpT4L2yUeiEYh9W95GeoYFf,aura,ET,bloom,dune,artifact,milkyway
525,0.12,1219,84.31,https://magiceden.io/item-details/Ea8NPzuGCnqJgdp9KtsWecU1KuhT2mpjB5QV8CQuycKN,roseglow,apollo,surge,fujeeee,buran,saturn
527,0.12,826,89.03,https://magiceden.io/item-details/CeYGjtxiXVvSte4h2XqjSScBNrffi8gn3ZkqB4G4Q34t,aura,mercury,surge,highlands,prototype,hokusai
530,0.12,3286,59.48,https://magiceden.io/item-details/9kZufzTK2jd2PQ94sihSY8JWdij2iEu85GVoL6GLmRxy,empty,gemini,jet,highlands,artifact,cloudscape
533,0.13,167,96.84,https://magiceden.io/item-details/Ckk2oSyT2SjFfAf4xfNm2oHFFGTdJ1Pn4abLLiHjhfoj,birds,apollo,tron,egypt,hera,cloudscape
535,0.1,1819,77.3,https://magiceden.io/item-details/9zMbXyrKwNeJz1Z7CCFszfFrjkWQsucsgspGjTSKKmTv,booster,apollo,surge,highlands,prototype,moonshine
536,0.05,2706,67.15,https://magiceden.io/item-details/FAXux7PjbUqrVyHEeXYUWELdprjNCW2M7ENq14TYbfE9,roseglow,apollo,cloud,highlands,prototype,firenight
538,0.1,3187,60.87,https://magiceden.io/item-details/7dY261VedwLdnxV2ae6jmho4wi6Ve8N9nCLXxZ37FKwF,empty,gemini,jet,dune,jackson,firenight
541,0.1,1086,86.1,https://magiceden.io/item-details/6vuXKxY81uYFGa5X7NpTApLo2BiyWQLRRABWp5KMrB5v,booster,venus,richmix,highlands,black,moonshine
558,0.098,1024,86.87,https://magiceden.io/item-details/BH5vDdfXhcqJ9bJ9VobPU2RaXyHYJtSGhvY8vuDWyTXH,rooster,apollo,surge,fuji,prototype,vice
577,0.15,582,91.66,https://magiceden.io/item-details/EYACzm46wckY5M7Eghp4qYiNAt7bp5uARgaxRRzPfYcD,wing,gemini,cloud,fujeeee,solcrystal,milkyway
584,0.022,2236,73.07,https://magiceden.io/item-details/sjCqzvSXHQApQjLRB5EZRBRGmzT35pnxwRDBv5xw2GY,roseglow,gemini,tron,fujeeee,prototype,firenight
585,0.024,2059,75.18,https://magiceden.io/item-details/DGyGfH76ayFRFbG67YEAcE8AaLVUygW4cv9dcwbhThb8,roseglow,mars,tron,fujeeee,prototype,moonshine
594,0.29,3330,57.25,https://magiceden.io/item-details/67iBzW6zmnkiAU5ZVM1DMJaBvqdFKp1uEPAdxj5gs2rr,empty,gemini,cloud,dune,jackson,milkyway
595,0.29,1766,76.04,https://magiceden.io/item-details/FADfdpAVRgxnX5UZz94d6vDwEd5GvKi1MrYMZGE5pg3b,wing,apollo,bloom,atlantis,jackson,sunset
604,0.2,55,97.49,https://magiceden.io/item-details/GNVUgRAxYx5YV4K2fUe32yocqbLj8MhNRhVjgZXYzzsx,empty,gemini,force,odyssey,red,hokusai
605,0.2,3071,61.26,https://magiceden.io/item-details/FyRYttj2s1rQ1mCGgo2dwvbxC2oxH2n9gZZwbXm5BsAP,empty,ET,richmix,fuji,artifact,sunset
606,0.023,1365,83.52,https://magiceden.io/item-details/FNQ497FYe1e7Y6627mdWkRdFQYq2RKppgR6gFBHBQQMN,wing,gemini,cloud,egypt,jackson,vice
856,0.13,133,97.25,https://magiceden.io/item-details/7anSn8UD3F39TgDYkNzf1YCM5YXv7cWuWxJ4SD5S6ywx,wing,ET,force,fujeeee,red,hokusai
877,0.05,2888,64.96,https://magiceden.io/item-details/ADvToN4HnYziWz92nU8oTnMBirbHNZRkcXhTBMU8ZyAK,empty,ET,richmix,dune,artifact,hokusai
907,0.25,2511,67.49,https://magiceden.io/item-details/J9uB7ZndeUcdN1odwL53fH2KuJ2eNrS4rEZ414V9a6HN,empty,mars,surge,egypt,yellow,milkyway
