id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Hat,Mouth,Neck,Skin,Zilla
12,13,2217,55.33,https://magiceden.io/item-details/HhmVzykvsYr9dUGieDUkT1Cte3cE2mG9Gkr3yCLeYbA7,None,Blue,Reptile,None,None,None,Ginger,Monkezilla
16,19,135,29.77,https://magiceden.io/item-details/AcFzMmfJoCcAyyz3cREoitu6uqFDyD7LpPMko4qCNFVM,Night Vision,Blue,Green,None,Blunt,Armor,Ape,GZilla
161,12.35,1288,77.19,https://magiceden.io/item-details/75fg4DsiftCvz2GUmLANnt1ps1kEF7Du1jSbaGDFoaMm,None,Pink,Red,Cats Happy,None,None,Dark Green,GZilla
199,50,276,0,https://magiceden.io/item-details/7ivRqUHDuT8k81BMGy7sj1NntcWj9rRgyr92Z732fKfD,None,Green,Blue,Bear With Hat,None,Armor,Orange,GZilla
217,12.6,1871,65.05,https://magiceden.io/item-details/2jKALhvMQwxxAwEkD4Q74WsfZiA1nxo6CGiaHUbeuPRH,None,Patagonia,Dilated Back,None,Blunt,None,White,Catzilla
253,35,1346,0,https://magiceden.io/item-details/BYcBXHswm9WeMWBW2ejYycDKTXUiFv7AEWai3bEU7dRm,None,Red,Normal Back,Duck Gray,None,None,Lava,GZilla
328,19.89,482,15.13,https://magiceden.io/item-details/9RpLBV1HPcAfJRSBPkWoDvTLvMKVibZNvAK5tpb9CVrf,Blue Laser,Purple,Normal Back,None,None,Pink Shirt,Shepherd,Dogezilla
334,39.99,449,0,https://magiceden.io/item-details/B3K7Lr8BW1hcnfyeitmmfrCxWyjFuhA4GL7mr7rPruGf,Thuglife OG,Pink,Normal Back,None,None,Silver Chain,Brown,Monkezilla
335,25,393,0,https://magiceden.io/item-details/Fo9Z3tDR3z3oNWSpbmoyjB6gR29mVkRV7um6D26HnRQC,None,Orange,Green,None,Piercing,Yellow Hoddie,Rainbow,Catzilla
356,85,150,0,https://magiceden.io/item-details/LhoxYVDtEyPBspej2Qg6M7yMMNTC84VswmHEtUoJZdj,Cyclops,Gray,Dilated Back,None,Cigar,Shirt Blue,Shepherd,Dogezilla
362,12.99,527,83.38,https://magiceden.io/item-details/4sVA4aUq4K5vhJNfFdPbS5Lw3txSG3FUVbvNtroUXTbj,None,Red,Normal,Llama Chile,None,Armor,Ginger,Monkezilla
376,19,197,28.74,https://magiceden.io/item-details/HQQLK6gq2Posqpw3KE8Qyhr7XcuULPo7c5p8NGKCXrgw,None,Magic Woods,Green,Cats Uwu,None,Green Hoddie,Zombie,Catzilla
384,18,1534,16.62,https://magiceden.io/item-details/GkzKTSDa4k3yhErkXDq3xZrxZF1bFQAV2pem1rNRxZiU,Thuglife OG,Orange,Reptile,None,None,None,Brown,Monkezilla
465,29,2287,0,https://magiceden.io/item-details/8rqftL4qrUi8KcAkR7sGGz6Q1HWCCkQFWCmg3mY6Zf79,None,Red,Normal,None,None,None,Milk Chocolate,Dogezilla
486,21,114,10.11,https://magiceden.io/item-details/7wzZ6kJaXmqfbHZzhxWTyWDgXk4TD7HxhrEMCJ8Bqwzk,None,Full Moon,Reptile,Kong Alien,None,Silver Chain,Dark Green,Monkezilla
503,13.8,2088,49.46,https://magiceden.io/item-details/3EKSvfpcysmSnWh9gCEfUyEE3w9YktYmmWXWni4DYu9i,Tron Light Blue,Green,Normal Back,None,None,None,Ape,Monkezilla
544,26,1822,0,https://magiceden.io/item-details/6gjEhQhMUBR3RUG94mQMfNwxFSQW8jyt2fPQByjRGvE7,Thuglife Blue,Orange,Normal,None,None,None,Orange,GZilla
567,15.5,1381,44.15,https://magiceden.io/item-details/83EfytKsW2AzzBqKBn6FDFk2am4CKsxGYzLZo3WPps48,None,Purple,Normal,Cats Happy,None,None,Collie,Dogezilla
568,12.8,738,81.79,https://magiceden.io/item-details/89SMp9wDv9XTiNMA8gPK5Ep5nTgwKhdPXxz9JkbLFf3X,None,Orange,Normal Back,Bear OG,None,Sayan Shirt,Gray,Catzilla
641,40,1519,0,https://magiceden.io/item-details/FxhkDq4Zei5rWpwQjCZur6X2vWMkP9ZTaXcMXaNZgYRu,None,Purple,Dilated,Bear Gray,None,None,Dark,GZilla
672,15,281,67.35,https://magiceden.io/item-details/GaPZBHetV2aAXeWpJ9MpmrpKk5BevhThdFW9LXDdXTDP,Scanner Red,Orange,Reptile,None,None,Pink Shirt,Tiger Ginger,Catzilla
717,50,1208,0,https://magiceden.io/item-details/AnnwAw1x8wY4HrWwiBJAvyB4241DVa1D9daLjU4SCGEP,Tron Light Blue,Canyon,Normal,None,None,None,Alien,GZilla
730,29.98,1084,0,https://magiceden.io/item-details/72HCzS5N4MMXmKsPhMMqyXyAWma4ibBVyvr6ti96RVow,None,Full Moon,Blue,Pengu Brown,None,None,Dark,Dogezilla
731,30,65,0,https://magiceden.io/item-details/5SibB3f6qm6c9PgjmBfrXqNo43sEFEoNkeU8wNxSTHTs,None,Blue,Happy,Pengu Slategray,Blunt,None,Rainbow,GZilla
757,49,1770,0,https://magiceden.io/item-details/GWRAEB3fZteDPm2NFndw79qyuThkzQEmtgeYnMUwqMJn,Thuglife Red,Purple,Normal,None,None,None,Zombie,Monkezilla
764,30,2418,0,https://magiceden.io/item-details/7dxphQmtrXu6AC1vXCyxEX7w1ncZDp4ygtW8xNJay8pQ,None,Gray,Normal Back,None,None,None,White,GZilla
831,12.69,1343,72.88,https://magiceden.io/item-details/4jVfwP7UdiJi7mT7h6ScCrHHCpWDUBAt5a8rs6dH2hnj,Thuglife OG,Gray,Happy,None,None,None,White,Catzilla
838,199,1114,0,https://magiceden.io/item-details/GUJspG26Bm5rWkMBwBh4rJEVwQTLmtUojVNHHxdZMSoa,None,Solana,Normal,None,None,Silver Chain,Shepherd,Dogezilla
867,15.42069,1377,45.01,https://magiceden.io/item-details/HHcm9VFCZ7YBZ2YtVBkUUQ2xvw4nca2b1Z8PRbJBQhhf,None,Blue,Dilated,Bear With Hat,None,None,Gray,Catzilla
883,16.95,1304,30.93,https://magiceden.io/item-details/jdwvHLWBrW9zekLPpRUT5tpnFzgAjnQqtM2DzcaGYBE,None,Andromeda,Normal,None,Cigar,None,Chocolate,Dogezilla
905,17.42069,2335,9.17,https://magiceden.io/item-details/9XQgVpr2ak73Bv4N9LgiLpxk37WoANWkebfKAZZZte7r,None,Blue,Blue,None,None,None,Green,GZilla
914,12.3,2165,63.19,https://magiceden.io/item-details/BbmcTVotWh8yvUdAav9Ysg938mbwy2ojBxZANk3VF4XX,None,Orange,Normal Back,None,None,Pink Shirt,White,Catzilla
928,25,417,0,https://magiceden.io/item-details/HLiqrYN5BYdBJrL5LhdpHLRHT3FyaM8ZMTKLJ6EFdwgD,None,Uyuni,Reptile,Wassie Laser,None,Gray Hoddie,White,Monkezilla
939,25,616,0,https://magiceden.io/item-details/HADhdqo1gguFk1aY76ajfQd4gmZUq2o894VQVCkxUxas,None,Red,Normal Back,Monke SOL,None,Armor,Dark Green,Monkezilla
942,18,224,38.29,https://magiceden.io/item-details/2vM3M2XAQQwEgDxVBppFsx6pgKZHgz8MYWK1oiA6Djgg,None,Purple,Worried,Fren Static,None,Sayan Shirt,Tiger Gray,Catzilla
958,40,37,0,https://magiceden.io/item-details/GWAuqeGEgwd7Vb2Hxjq6QNmYKKbYZ9BS4gQfCtiAqiuA,None,Blue,Stoned,Monke Headphones,Cigar,Pink Shirt,Fire,Dogezilla
975,42.069,298,0,https://magiceden.io/item-details/XWYzdnFWmv1buLWemTs6Wc524xLZDZ3YM7vSeijFh9Z,None,Purple,Angry,Kong Orange,Blunt,None,Brown,Monkezilla
976,21.5,72,5.81,https://magiceden.io/item-details/3kyMC9BhqaNuhFwagXCnBet1cszBJqxBbBwUB3KbsR9j,None,Blue,Blue,Monke Skelly,Cigar,Shirt Blue,Zombie,Monkezilla
1007,15.69,198,61.82,https://magiceden.io/item-details/DkmvqQwEEgDE4JNrm71K5CaWDhzP1zTCiivugN9WjED9,None,Pyramids,Green,Toadz 3D,None,Sayan Shirt,Martian,Dogezilla
1028,18.5,710,25.25,https://magiceden.io/item-details/5mupcwHDgmEQh8YMHqBzsuUefgpL478W67FjzyvPMRKL,Viper Pink,Green,Green,None,None,Yellow Hoddie,Dark Green,Monkezilla
1082,14.5,1861,46.21,https://magiceden.io/item-details/GGmVUu2i9ysL6kf9HH2sF6Gpt4T4V2xKmsPSBLnRBCCB,None,Orange,Dilated Back,None,Cigar,None,Tiger Gray,Catzilla
1107,16.95,784,39.53,https://magiceden.io/item-details/7CNts3PMo6SYfZVUKzpSmSTxFRY6PVpizGeiVu2m3vXz,Cyclops,Blue,Dilated Back,None,None,Sayan Shirt,Venus,Catzilla
1114,18.8,327,28.59,https://magiceden.io/item-details/5wW7keQyt8J3izEgDhc9W9SqNaoiDnt5WP8uNig1PivD,None,Purple,Red,Toadz Ape,None,Blue Hoddie,Martian,Catzilla
1121,14,2177,45.99,https://magiceden.io/item-details/597xWF3j9sDMaggfCxC1oMnmmKjrhVY8qUaZA5kiag2H,None,Full Moon,Stoned,None,None,None,Dark Green,GZilla
1192,69.42,118,0,https://magiceden.io/item-details/2PguZCuqJ1CR7v8y8CxebPfRhuPjtGf7pYKB14mxgpcX,None,Space,Normal,Kong Orange,None,Pink Hoodie,Collie,Dogezilla
1234,12.2,1260,79.16,https://magiceden.io/item-details/5HKCErv46abje41t2KvN1DU3UittD3aLGxjT85Z9Chk2,3D,Blue,Stoned,None,None,None,Vitiligo,Monkezilla
1243,69.42,418,0,https://magiceden.io/item-details/9W5SWGRcYDmE1eZsmXJmkoJWGemPaFyPSdD5rX5VX9k6,None,Canyon,Normal Back,Crown,Pipe,None,Dark Green,Monkezilla
1291,25,350,0,https://magiceden.io/item-details/dAge8kX5Npkwv63WEtJoUQuv9okp1Mqqqsg2DaNTa5E,Scanner Red,Blue,Blue,None,None,Pink Hoodie,Tiger Ginger,Catzilla
1324,16,543,53.02,https://magiceden.io/item-details/EdYzxSenF64KuMfPxtTeJJzKXzw2FyewDBgo6r8zw5GA,None,Patagonia,Normal,Bear OG,Blunt,None,Ape,GZilla
1394,14.42069,1562,51.95,https://magiceden.io/item-details/51Yb1yEmDMNuMiMbLHmkDCUGLaZTAiyba3jRCfeWZtE3,Infrared,Gray,Dilated,None,None,None,Tiger Slategray,Catzilla
